,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9873877,9873877,house,house,550000,forsale,1410,xl,installed,,good,gas,,3,859,,,,true,,,1,,
9873869,9873869,house,house,20000,forsale,7134,l,installed,,good,gas,323,5,802,,,,,,,1,,
9874005,9874005,house,house,298150,forsale,8210,m,installed,2022,asnew,gas,,3,250,,,,,,,,,
9874052,9874052,house,house,79000,forsale,7642,m,,,torenovate,pellet,536,2,0,,true,,,,,,,
9874027,9874027,house,villa,549000,forsale,2390,xl,installed,,good,gas,615,5,1675,true,,,true,,,,1,
9874071,9874071,house,house,noprice,forrent,5030,m,semiequipped,1980,good,fueloil,315,3,200,,true,,true,true,,1,3,
8646640,8646640,house,house,noprice,forsale,4020,m,,,torenovate,,1217,2,0,,true,,true,,,,,
9874125,9874125,house,villa,noprice,forsale,8020,xl,installed,1994,asnew,gas,337,4,932,true,,280,true,true,,2,2,
8646433,8646433,house,bungalow,noprice,forsale,1800,l,,1966,,,645,5,874,,true,,,,,1,3,
8646359,8646359,house,bungalow,noprice,forsale,4121,xl,,1993,good,fueloil,333,3,962,true,true,800,true,,,1,1,
8647080,8647080,house,house,noprice,forsale,1981,l,,,,,205,3,512,,,,,,,,,
8648549,8648549,house,house,noprice,forsale,6660,m,hyperequipped,1923,asnew,fueloil,282,4,1685,true,true,,,true,,4,6,
8647093,8647093,house,villa,699000,forsale,03183,m,,,asnew,,,4,400,,,,true,,,,2,
8649201,8649201,house,house,noprice,forsale,9000,m,,,,,183,2,25,,,,,,,,,
8650010,8650010,house,house,275000,forsale,2520-294,xl,,,,,,3,0,,,,,,,,,
8650042,8650042,house,bungalow,noprice,forsale,9840,xl,installed,1967,good,gas,468,2,518,,,,,,,1,,
8650810,8650810,house,house,229000,forsale,4960,xl,,,,fueloil,187,5,0,,,720,true,,,,,
8651430,8651430,house,house,noprice,forsale,4000,l,hyperequipped,,asnew,gas,312,3,0,,true,,true,true,,2,,
8651215,8651215,house,house,noprice,forsale,9870,m,,1952,torenovate,carbon,1140,3,1570,,,,true,,,,,
8652418,8652418,house,villa,noprice,forsale,6760,xl,installed,1960,,,555,3,2200,,true,,,,,2,,
8651429,8651429,house,house,noprice,forsale,4682,l,usainstalled,,good,gas,402,4,199,,true,141,true,true,,1,,
8651904,8651904,house,house,noprice,forsale,4357,l,installed,1950,good,fueloil,471,3,546,,true,221,true,,,1,,
8653612,8653612,house,apartmentblock,350000,forsale,63100,l,,,good,,,8,0,,,,,,,2,1,
8652425,8652425,house,house,noprice,forsale,9420,m,hyperequipped,1954,asnew,gas,282,3,292,true,,175,true,true,,,1,
8653273,8653273,house,countrycottage,noprice,forsale,1570,xl,notinstalled,,torenovate,,794,5,4390,true,,,,,,,,
8653260,8653260,house,house,noprice,forsale,8792,m,,,good,gas,517,3,179,,,,,true,,,,
8653460,8653460,house,apartmentblock,800000,forsale,3500,l,semiequipped,1953,good,gas,473,4,126,,true,,true,,,,,
8654326,8654326,house,house,190000,forsale,5060,l,,,tobedoneup,,591,2,400,,true,,true,,,,,
8653826,8653826,house,villa,noprice,forsale,5060,xl,usainstalled,1920,good,fueloil,249,4,693,,,380,,true,,1,,
8654375,8654375,house,apartmentblock,800000,forsale,3500,l,,,good,gas,,4,190,,true,,,,,,,
8654423,8654423,house,house,noprice,forsale,7950,xl,installed,,torenovate,pellet,464,3,852,,true,852,,,,,2,
8655944,8655944,house,house,noprice,forsale,7610,m,,,tobedoneup,fueloil,568,2,1102,,,,,,,1,,
8654633,8654633,house,house,119000,forsale,6460,m,,,,fueloil,407,2,120,,true,,,,,,,
8656737,8656737,house,countrycottage,noprice,forsale,54260,xl,notinstalled,,,,,3,1762,,true,,,,,,,
8656738,8656738,house,house,noprice,forsale,55600,xl,installed,1800,,,,3,140,,,,,,,,,
8655114,8655114,house,house,noprice,forrent,8377,xl,,,asnew,,852,2,40,,,,,,,,,
8656740,8656740,house,house,noprice,forsale,6750,xl,installed,2009,,,242,5,880,,,,,,,1,,
8656739,8656739,house,house,noprice,forsale,6810,xl,,1890,torenovate,,893,2,280,,,,,,,1,,
8657198,8657198,house,villa,noprice,forsale,8540,xl,,,,,462,3,852,,true,852,,,,,4,
8656741,8656741,house,house,noprice,forsale,6760,xl,installed,,,,485,3,620,,true,,,,,1,,
8657499,8657499,house,villa,noprice,forsale,3770,l,,,asnew,gas,307,5,4000,true,true,3827,true,true,true,5,,
8657689,8657689,house,townhouse,noprice,forsale,6760,xl,semiequipped,,,,632,3,1112,,true,,,,,1,,
8657500,8657500,house,villa,noprice,forsale,3770,l,,,asnew,gas,307,5,2200,true,true,2027,true,true,true,5,,
