,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9913405,9913405,house,house,noprice,forsale,9000,xl,semiequipped,,good,gas,264,3,61,,,,,,,,,
9913404,9913404,house,house,noprice,forsale,9040,xl,installed,,good,gas,207,2,62,,true,,true,,,,,
9913354,9913354,house,exceptionalproperty,749000,forsale,1130,m,usainstalled,1966,asnew,gas,297,6,690,true,true,380,true,true,,,4,
9913458,9913458,house,house,327500,forsale,62110,m,,,,,227,6,372,,,,,,,,,
9913406,9913406,house,house,noprice,forsale,9050,xl,semiequipped,,good,gas,381,2,30,,,,,,,,,
9913544,9913544,housegroup,housegroup,190000-220000,forsale,6280,l,,,,,,,,,,,,,,1,1,1
9913415,9913415,house,house,565000,forsale,1932,m,usainstalled,,good,gas,497,5,500,,true,,true,,,1959,,
9913414,9913414,house,house,565000,forsale,1930,m,usainstalled,,good,gas,497,5,500,,true,,true,,,1959,,
9913546,9913546,houseunit,houseunit,190000,forsale,6280,l,,2022,,,,3,266,,,,,,,1,,1
9913545,9913545,houseunit,houseunit,220000,forsale,6280,l,,2022,,,,3,730,,,,,,,1,,1
9913557,9913557,house,apartmentblock,654000,forsale,2060,m,installed,,tobedoneup,gas,,0,0,,,,,,,,,
9913640,9913640,house,villa,795000,forsale,8510,l,installed,2005,good,,553,4,4416,,true,,,,true,1,10,
9913639,9913639,house,house,229000,forsale,8560,l,notinstalled,1930,tobedoneup,gas,1013,2,378,,true,,,,,,2,
9913681,9913681,house,house,noprice,forsale,2610,m,,1955,good,gas,472,2,98,,,,,true,,,,
9913716,9913716,house,house,416000,forsale,2520,l,installed,2023,asnew,gas,,4,239,,,,true,,,,1,
9913694,9913694,house,house,noprice,forsale,9500,xl,,,asnew,gas,441,2,116,true,true,,true,true,,,,
9913720,9913720,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,172,,,,,,,,,
9913719,9913719,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,165,,,,,,,,1,
9913721,9913721,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,238,,,,,,,,1,
9913722,9913722,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,172,,,,,,,,1,
9913724,9913724,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,161,,,,,,,,1,
9913723,9913723,house,house,noprice,forsale,2520,m,installed,2022,asnew,gas,,4,172,,,,,,,,1,
9913726,9913726,house,house,245000,forsale,2560,m,semiequipped,1966,torenovate,,836,3,377,,,,,,,1,2,
9913733,9913733,house,apartmentblock,530000,forsale,4600,m,,1955,asnew,gas,265,5,0,,true,56,true,,,,,
9913753,9913753,house,villa,noprice,forsale,7340,xl,usasemiequipped,1966,tobedoneup,gas,289,4,600,true,true,,,,,1,,
9913754,9913754,house,countrycottage,noprice,forsale,7370,xl,installed,,good,gas,287,3,1011,,true,,true,,,2,3,
9913774,9913774,house,house,noprice,forsale,1840,m,installed,1930,good,fueloil,552,3,530,,true,225,true,,,2,,
9913775,9913775,house,house,390000,forsale,1620,xl,usahyperequipped,1930,asnew,gas,667,3,160,,true,100,true,,,,1,
9913786,9913786,house,house,noprice,forsale,6927,xl,notinstalled,1967,torenovate,fueloil,490,4,1096,,true,,true,,,1,1,
9913847,9913847,house,house,noprice,forsale,2260,l,,1961,torestore,fueloil,647,3,3800,,true,,,,,,,
9913877,9913877,house,house,1580000,forsale,92210,m,,,,,275,4,0,,,,,,,,,
9913915,9913915,house,mixedusebuilding,200000,forsale,5575,m,installed,,good,,,3,140,true,true,,,,,1,,
9913960,9913960,house,house,600000,forsale,7850,m,,,,fueloil,477,5,0,true,,,true,true,,,,
9913969,9913969,house,house,170000,forsale,7170,m,usainstalled,,good,,476,2,0,,,,,,,1,1,
9913968,9913968,house,house,860000,forsale,1040,m,installed,1908,good,,296,5,0,,true,115,true,true,,,,
9913974,9913974,house,house,noprice,forrent,3010,xl,installed,,good,gas,145,3,0,,true,,,,,,,
9914104,9914104,house,house,189000,forsale,6940,xl,semiequipped,1969,good,,416,2,1796,,true,1796,true,,,1,3,
9914103,9914103,house,house,249000,forsale,3890,xl,,1950,tobedoneup,fueloil,877,4,415,true,true,308,,true,,1,1,
9914116,9914116,house,house,1850000,forsale,1640,xl,,,,,,6,2040,,,,,,,2,,
9914172,9914172,house,house,114900,forsale,3700,m,,,torenovate,,1099,4,395,,,,,,,,,
9914145,9914145,house,house,339000,forsale,3090,xl,installed,,,,943,3,2525,true,true,2000,,,,2,5,
9914234,9914234,house,house,179000,forsale,5570,m,,,,fueloil,418,2,441,true,true,,,,,,,
9914256,9914256,house,house,noprice,forsale,8480,xl,notinstalled,1932,torenovate,gas,895,3,532,,,,,,,,,
9914274,9914274,house,house,325000,forsale,8530,l,,1984,good,electric,638,4,611,,,,,,,1,,
9914289,9914289,house,villa,350000,forsale,20004,l,,1993,good,,,5,0,,,,,,true,,2,
