,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9207070,,,,,Urban,78m² square meters,2,,,,,,,7m² square meters,,No,,Not specified,Not specified,in opmaak,Not specified,Not specified,No,Vlamingstraat 62 8000- Brugge,http://www.dewaele.com,,,23m² square meters,Yes,,Gas,,,,Hyper equipped,,,2020,As new,,,No,,D8000-A1383-NBW-01,4,No,,,,,,,,,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9221056,,,,,"Living area (residential, urban or rural)",,3,,,,1,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Leopold 2 laan 83a 8670- Oostduinkerke,http://www.broker.be,,,,,,,Yes,,"€ 167,375 167375 €",,,,,,,,,,,,,,,,,,,,,,,,,,,Els,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9224114,,,,,Urban,,2,,,,2,,,,,,,161 kWh/m² kilowatt hour per square meters,B,20210307-0002383426-RES-1,Not specified,Not specified,No,Zwaluwenstraat 9 8000- Brugge,http://www.immo-plus.be,,,,,,,No,,,,,,,,,,,,Langestraat 23,,,,,,Yes,,,,,No,No,,Residential area with cultural historical aesthetic value,,"€ 2,385 2385 €",,,No,,,,,,,,,,,Yes,,Yes,,,No,,,,,,,,,,,,,,,,,,
9228058,,,,,Urban,47m² square meters,1,15m² square meters,,,1,,,5m² square meters,,No,Yes,110 kWh/m² kilowatt hour per square meters,B,41002201365816386001D01SD034,31 kg CO₂/m²,Not specified,No,Gentsesteenweg 145 9300- Aalst,http://www.woonservicevdv.be,,26m² square meters,,No,No,Gas,Yes,,"€ 239,000 239000 €",Installed,,,2016,,,Yes,No,,1020C,,No,Residentie Prinsenhof,,,No,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,No,,No,No,,60,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
9325458,,,,,Urban,81m² square meters,1,,,,1,,1,13m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Heilig Hartplaats 3 2870- Puurs,http://www.dewaele.com,,,12m² square meters,,,,,,,,,,,Good,,,No,,D2870-15.0052,4,,,,,,,,,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9327990,,,,,"Living area (residential, urban or rural)",100m² square meters,2,22m² square meters,13m² square meters,,1,,1,,South,,Yes,502 kWh/m² kilowatt hour per square meters,F,20190429003088,126 kg CO₂/m²,62087 kWh/year,No,Marché Saint-Remy 15000- Namur,http://www.immo-vanhoutte.be,After signing the deed,31m² square meters,242m² square meters,,Yes,Gas,Yes,South,,Installed,12m² square meters,,1955,Good,,Yes,,,,,,,,,,Yes,,,,,,,"Living area (residential, urban or rural)",,"€ 1,121 1121 €",,Non flood zone,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,
9329545,,,,,"Living area (residential, urban or rural)",215m² square meters,4,30m² square meters,18m² square meters,17m² square meters,2,,2,36m² square meters,,,,242 kWh/m² kilowatt hour per square meters,C,20170823-0001987081-1,Not specified,Not specified,No,Schurhoven 5 3800- Sint-Truiden,,After signing the deed,,,Yes,,Electric,Yes,,"€ 458,000 458000 €",Installed,16m² square meters,,1998,Good,,Yes,No,,1706 - 99376,2,,,,,,,,,Yes,,No,,"Living area (residential, urban or rural)",,"€ 1,415 1415 €",,Non flood zone,,,,,No,,,,,,,,,,,17m² square meters,,,,,,,,,,,,,,,,,,,
9329843,,,,,"Living area (residential, urban or rural)",90m² square meters,2,17m² square meters,12m² square meters,,,,,,,,,252 kWh/m² kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Leopoldslei 7 2930- Brasschaat,,,,100m² square meters,,,Gas,,,,Hyper equipped,,,,,,,,,,3,,,,,,,4m² square meters,,,,,,,,€ 728 728 €,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
9231683,,,,,"Living area (residential, urban or rural)",104m² square meters,2,,,,,,,,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Torfhoeken 28 2970- Schilde,http://www.geysvastgoedprojecten.be,,,180m² square meters,,,,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9231680,,,,,"Living area (residential, urban or rural)",128m² square meters,3,,,,,,,,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Torfhoeken 28 2970- Schilde,http://www.geysvastgoedprojecten.be,At delivery,,150m² square meters,Yes,,,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
