,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
2103,9174907,,,,Urban,71,1.0,12,,,1.0,1.0,12,,102.0,B,Not specified,7215 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,31m² square meters,Yes,,Gas,Yes,179500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,31
2104,9174908,,,,Urban,60,1.0,12,,,1.0,1.0,,,92.0,B,Not specified,5508 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,148500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
2106,9174911,,,,Urban,56,1.0,10,,,1.0,1.0,,,99.0,B,Not specified,5616 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,25m² square meters,Yes,,Gas,Yes,145500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,25
2108,9174910,,,,Urban,54,1.0,10,,,1.0,1.0,,,92.0,B,Not specified,5020 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,25m² square meters,Yes,,Gas,Yes,145500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,25
2111,9176873,,,1.0,,60,1.0,15,,,1.0,1.0,,,365.0,E,Not specified,22021 kWh/year,No,Rue du Virginal 83 7090- Hennuyères,,,,Gas,,115000.0,Semi equipped,7,1970.0,Good,,,3.0,,,,,,,,,,,,,,,,,,,,
2114,9179785,,,,,71,1.0,,,,1.0,1.0,18,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,188400.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,9179786,,,,,61,1.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,164500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,9179787,,,,,91,2.0,,,,1.0,,15,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,224300.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,9179788,,,,,92,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,232000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,9179790,,,,,59,1.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,164000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,9179789,,,,,59,1.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,164000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,9179791,,,,,102,2.0,,,,1.0,,16,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,249600.0,Not installed,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
2121,9179838,,,,Urban,160,2.0,,,,1.0,3.0,,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,1537.0,Hyper equipped,,2018.0,As new,,,4.0,No,,,,,,,,,,,,,Yes,,,,,,
2123,9182970,,,12.0,,67,1.0,12,,,1.0,1.0,7,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,24m² square meters,Yes,,Gas,Yes,195000.0,Hyper equipped,7,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,24
2124,9182969,,,12.0,,79,2.0,12,9,,1.0,1.0,11,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,27m² square meters,Yes,,Gas,Yes,240000.0,Hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,27
2125,9182971,,,12.0,,96,2.0,12,8,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,35m² square meters,Yes,,Gas,Yes,245000.0,USA hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,35
2126,9183387,,,,"Living area (residential, urban or rural)",108,2.0,,,,,,7,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,314000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2127,9183388,,,,"Living area (residential, urban or rural)",111,3.0,,,,,,7,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,332000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2128,9183385,,,,"Living area (residential, urban or rural)",92,2.0,,,,,,5,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,275000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2129,9183389,,,,"Living area (residential, urban or rural)",102,2.0,,,,,,7,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,303000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2130,9183404,,,,"Living area (residential, urban or rural)",95,2.0,,,,,,8,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,304000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2132,9183406,,,,"Living area (residential, urban or rural)",92,2.0,,,,,,7,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,282000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2133,9183418,,,,"Living area (residential, urban or rural)",103,2.0,,,,,,7,South East,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,310000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
2134,9183761,,,1.0,,120,2.0,15,12,,1.0,1.0,,,212.0,C,61 kg CO₂/m²,25507 kWh/year,No,Rue Saint-Achaire 86 7700- Mouscron,,Yes,,Electric,Yes,215000.0,Installed,,2008.0,Good,Yes,,2.0,No,,,,,,,,Yes,,,,,,,,,,,
