,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
2255,9217742,,1.0,2.0,,211,3.0,26,20,15,3.0,4.0,,,139.0,B,28 kg CO₂/m²,33952 kWh/year,No,Chaussée de Louvain 433 1380- Lasne,80m² square meters,No,,Gas,Yes,875000.0,USA hyper equipped,,2013.0,As new,Yes,,,No,,,,Yes,,,,Yes,,,,,Yes,,,,,,80
2260,9313896,,,8.0,Urban,59,1.0,,,,1.0,1.0,14,,106.0,B,Not specified,6255 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,,No,,,,162500.0,,,,As new,,,,,,,,Yes,,,,,,,,,,,,,,,
2264,9220727,,,,"Living area (residential, urban or rural)",107,2.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,"Westerlaan, 25 8790- Waregem",,Yes,Yes,Gas,Yes,255000.0,Installed,,,Good,,,,,,,,Yes,No,,,,,,,,Yes,,,,,,
2267,9223855,,,1.0,Urban,55,1.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Koning Albertstraat 28 9900- Eeklo,,Yes,Yes,Gas,Yes,122220.0,Installed,,,As new,,,2.0,No,,Yes,Yes,Yes,Yes,,,No,No,,,,,,,,,,
2272,9324675,,2.0,,"Living area (residential, urban or rural)",86,2.0,,,,1.0,1.0,24,,,A,Not specified,Not specified,No,Avenue Cardinal Mercier 9 5000- Namur,,Yes,,Gas,Yes,312900.0,,,,,Yes,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,,
2273,9324674,,2.0,,"Living area (residential, urban or rural)",97,2.0,,,,1.0,1.0,18,,,A,Not specified,Not specified,No,Avenue Cardinal Mercier 9 5000- Namur,,Yes,,Gas,Yes,296100.0,,,,,Yes,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,,
2295,9224189,,,,"Living area (residential, urban or rural)",94,2.0,12,13,,,2.0,10,,40.0,A,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,,Yes,,,Yes,404500.0,USA hyper equipped,,2021.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2298,9224188,,,,"Living area (residential, urban or rural)",92,2.0,12,13,,,2.0,10,,40.0,A,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,,Yes,,,Yes,404500.0,USA hyper equipped,,2021.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2304,9224190,,,,"Living area (residential, urban or rural)",92,2.0,12,13,,,2.0,10,,40.0,A,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,,Yes,,,Yes,404500.0,USA hyper equipped,,2021.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2308,9224197,,,,"Living area (residential, urban or rural)",92,2.0,12,13,,,2.0,10,,40.0,A,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,,Yes,,,Yes,374000.0,USA hyper equipped,,2021.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2316,9226306,,,25.0,Urban,88,2.0,12,8,,1.0,1.0,8,,,Not specified,Not specified,Not specified,No,Stationstraat 30 9600- Ronse,36m² square meters,Yes,,Gas,Yes,220000.0,Hyper equipped,,2021.0,As new,,,4.0,No,,,,Yes,No,,,,,,,,,,,,,,36
2330,9326517,,,,,82,2.0,12,6,,1.0,1.0,8,,,Not specified,Not specified,Not specified,No,Turnhoutsebaan 175 2110- Wijnegem,,Yes,No,Gas,Yes,256000.0,,8,2022.0,,,,,No,,No,,Yes,Yes,,,No,,,,Yes,,,,,,,
2336,9327829,,1.0,,,84,1.0,,,,1.0,1.0,11,,,Not specified,Not specified,Not specified,No,Italiëlei 207 2000- Antwerpen,,Yes,,Gas,Yes,249000.0,Hyper equipped,,2021.0,,Yes,,2.0,,,,,Yes,Yes,,,,,,,,,,,,,,
2337,9329802,,1.0,,,84,1.0,,,,1.0,1.0,11,,,Not specified,Not specified,Not specified,No,Italiëlei 207 2000- Antwerpen,,Yes,,Gas,Yes,249000.0,Hyper equipped,,2021.0,,Yes,,2.0,,,,,Yes,Yes,,,,,,,,,,,,,,
2340,9230158,,,,,100,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Otegemstraat 45 8550- Zwevegem,,Yes,Yes,Gas,No,299000.0,,,2020.0,,,Yes,3.0,,,,,Yes,No,,,,No,Yes,No,,,,,,,,
2345,9233769,,,,,94,1.0,,,,1.0,1.0,21,,,Not specified,Not specified,Not specified,No,Korte Keppestraat 62 9320- Erembodegem,,Yes,,,,257000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,9237657,,,,,75,1.0,11,,,1.0,1.0,8,,,Not specified,Not specified,Not specified,No,"Guissetplein, 5 9600- Ronse",30m² square meters,,,Gas,Yes,169900.0,Hyper equipped,7,2021.0,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,30
2350,9237654,,,,,68,1.0,10,,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,"Guissetplein, 5 9600- Ronse",23m² square meters,,,Gas,,159900.0,Hyper equipped,8,2021.0,,,,2.0,,,,,Yes,,,,,,,,,,,,,,,23
2354,9240206,,,,,116,2.0,16,15,,1.0,1.0,9,,92.0,A,Not specified,Not specified,No,Brakelsesteenweg 269 9400- Ninove,32m² square meters,No,No,Gas,Yes,319000.0,Installed,17,2004.0,As new,,,2.0,No,,No,,Yes,,,,No,No,,,,,,,,,,32
2357,9240442,,,17.0,Urban,57,1.0,14,,,1.0,1.0,47,,,Not specified,Not specified,Not specified,No,"Bld des Déportés, 56 A 7500- Tournai",,Yes,,Gas,Yes,155000.0,Installed,,,As new,,,,,,,,,,,,,,,,,,,,,,,
2359,9241753,,,,,93,2.0,,,,2.0,2.0,,,,Not specified,Not specified,Not specified,No,Lippenslaan 393 8300- Knokke,,Yes,,Gas,Yes,549000.0,USA hyper equipped,,2022.0,As new,Yes,,2.0,,,,,,No,,,Yes,,,,,Yes,,,,,,
2360,9241419,,,,Mall,50,,,,,,1.0,,,,Not specified,Not specified,Not specified,No,,28m² square meters,Yes,Yes,Electric,Yes,199000.0,Installed,4,1954.0,To be done up,,No,1.0,No,,No,,,,€ 119 119 €,,No,No,No,No,,,,No,No,,,28
2362,9242763,,,,,,2.0,,,,1.0,1.0,21,,48.0,A,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,255000.0,Installed,,2020.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
2363,9242766,,,,,,1.0,,,,1.0,1.0,21,,43.0,A,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,185000.0,Installed,,2020.0,As new,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
2365,9242761,,,,,,2.0,,,,1.0,1.0,21,,46.0,A,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,232000.0,Installed,,2020.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
2366,9244810,,,2.0,,141,3.0,,,,2.0,2.0,20,,117.0,B,23 kg CO₂/m²,16534 kWh/year,No,Clos des Chêneaux 18A 1390- Grez-Doiceau,,Yes,,Gas,Yes,525000.0,USA installed,,2012.0,As new,Yes,,3.0,No,,,,,,,1.524,,,,,,,,,,,,
2367,9245107,,,,,55,1.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,"Roterijstraat, 202 8793- Waregem",,Yes,,,,245000.0,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,
2370,9332176,,,,Isolated,179,4.0,23,9,8,1.0,1.0,11,,175.0,D,35 kg CO₂/m²,Not specified,No,Rue Prince Baudouin 67/15 1083- Ganshoren,61m² square meters,Yes,,Gas,Yes,395000.0,Hyper equipped,13,2004.0,Good,,,2.0,No,22 m,,,,,,,,,,,,,8,,,,,61
2373,9335242,,,,Urban,96,2.0,,,,2.0,1.0,20,,,Not specified,Not specified,Not specified,No,Kouter 98 9000- Gent,,Yes,,,,424000.0,Installed,,,As new,,,2.0,No,,,,Yes,No,,,,,,,,,,,,,,
2379,9337272,,,,,103,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Impulsstraat 8 2220- Heist-op-den-Berg,,No,Yes,,Yes,290000.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,,,,,,,,
2381,9246681,,,1.0,,68,1.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Franklin Rooseveltlaan 22 A 9000- Gent,,Yes,No,,No,159900.0,,,2022.0,,,,,No,,No,,Yes,Yes,,,No,,,,,,,,,,,
2382,9246678,,,1.0,,75,1.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Franklin Rooseveltlaan 22 A 9000- Gent,,Yes,No,,No,169900.0,,,2022.0,,,,,No,,No,,Yes,Yes,,,No,,,,,,,,,,,
2384,9337471,,1.0,1.0,,151,3.0,,,,2.0,1.0,18,,,Not specified,Not specified,Not specified,No,Boulevard de la Sauvenière 37 4000- Liège,,Yes,,,Yes,545000.0,,,,As new,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
2385,9337473,,1.0,1.0,,151,2.0,,,,2.0,1.0,26,,,Not specified,Not specified,Not specified,No,Boulevard de la Sauvenière 37 4000- Liège,,Yes,,,Yes,585000.0,,,,As new,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
2391,9338572,,,1.0,,214,3.0,19,16,14,1.0,4.0,53,,55.0,B,Not specified,Not specified,No,Chaussée de Waterloo 1382 1180- Uccle,54m² square meters,Yes,,Gas,Yes,1695.0,Hyper equipped,21,2022.0,As new,Yes,,3.0,No,,,,,,,,,,,,,,,,,,,54
2392,9340576,,,,,90,2.0,,,,1.0,,21,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,225000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2393,9340578,,,,,44,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,145000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2394,9340577,,,,,66,2.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,189000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2395,9340579,,,,,88,2.0,,,,1.0,,19,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,229000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2408,9340591,,,,,91,2.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,249000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2409,9340910,,,1.0,,60,1.0,8,,,1.0,1.0,6,,452.0,F,83 kg CO₂/m²,27030 kWh/year,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",14m² square meters,Yes,,Gas,Yes,69999.0,Installed,6,1979.0,Good,Yes,,4.0,No,,,,,,,,,,,,,,,,,,,14
2410,9340593,,,,,77,2.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,239000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2411,9340592,,,,,78,2.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Den Triangel 2 8610- Kortemark,,Yes,,Gas,Yes,255000.0,Hyper equipped,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2414,9341398,,,29.0,Urban,130,2.0,,,,2.0,1.0,,,,Not specified,Not specified,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,,,,,399000.0,,,,As new,,,4.0,,,,,,,,,,,,,,,,,,,,
2415,9341394,,,29.0,Urban,129,3.0,,,,2.0,1.0,,,,Not specified,Not specified,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,,,,,410000.0,,,,As new,,,4.0,,,,,,,,,,,,,,,,,,,,
2418,9344169,,,,,66,2.0,15,10,,,1.0,14,,441.0,G,95 kg CO₂/m²,Not specified,No,Chaussée de Helmet239 1030- Schaerbeek,20m² square meters,,,Gas,Yes,219000.0,Installed,10,,,,No,2.0,,,,,,,,,,No,No,,,,,,,,,20
2422,9254414,,,,,122,2.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,Gas,Yes,259500.0,Not installed,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
2424,9257226,,,7.0,Urban,94,2.0,,,,1.0,1.0,11,,,Not specified,Not specified,Not specified,No,Coupure Rechts 88 9000- Gent,,Yes,,,Yes,242500.0,Hyper equipped,,2021.0,,Yes,Yes,3.0,,,,,Yes,,,,,,,,,,,,,,,
2426,9257039,,,,,90,2.0,,,,1.0,,42,,,Not specified,Not specified,Not specified,No,Ottergemsesteenweg-Zuid 808 9000- Gent,,Yes,,Gas,Yes,305000.0,Hyper equipped,,2020.0,As new,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,
2427,9257225,,,7.0,Urban,97,2.0,,,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Coupure Rechts 88 9000- Gent,,,,Gas,Yes,244500.0,Hyper equipped,,2021.0,,Yes,Yes,2.0,,,,,Yes,,,,,,,,,,,,,,,
2432,9348628,,1.0,,Isolated,90,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,,,Gas,Yes,240200.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2433,9348629,,1.0,,,101,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,Yes,,Gas,Yes,240200.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2434,9348633,,1.0,,,87,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,Yes,,Gas,Yes,232400.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2435,9348634,,1.0,,,100,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,Yes,,Gas,Yes,247900.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2436,9348638,,1.0,,,88,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,Yes,,Gas,Yes,203300.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2437,9348639,,1.0,,,107,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Rue de la Station 44 4032- Chênée,,Yes,,Gas,Yes,222700.0,,,2021.0,As new,Yes,,,,,,,,,,,,,,,,,,,,,,
2442,9350148,,,,,61,1.0,15,,,1.0,1.0,9,,30.0,A,Not specified,Not specified,No,Burchtstraat 12 9400- Ninove,30m² square meters,Yes,,,,184500.0,Hyper equipped,,2022.0,As new,,,,,,,,,,,,,,,,,,,,,,,30
2443,9350160,,,,Urban,98,2.0,13,7,,1.0,1.0,16,,30.0,A,Not specified,Not specified,No,Burchtstraat 12 9400- Ninove,43m² square meters,Yes,,,,273000.0,Hyper equipped,7,2022.0,As new,,,,,,,,,,,,,,,,,,,,,,,43
2446,9350161,,,,Urban,101,2.0,12,6,,1.0,1.0,16,,30.0,A,Not specified,Not specified,No,Burchtstraat 12 9400- Ninove,44m² square meters,Yes,,,,280000.0,Hyper equipped,8,2022.0,As new,,,,,,,,,,,,,,,,,,,,,,,44
2448,9350398,,1.0,1.0,"Living area (residential, urban or rural)",151,2.0,,,,1.0,2.0,26,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,,,585000.0,USA hyper equipped,,,,Yes,,,Yes,,,Yes,,,€ 250 250 €,,,,,,,,,Yes,Yes,,,
2449,9350400,,1.0,1.0,"Living area (residential, urban or rural)",153,2.0,,,,1.0,2.0,20,South,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,440000.0,USA uninstalled,,,,Yes,,,Yes,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
2450,9350405,,1.0,1.0,"Living area (residential, urban or rural)",146,2.0,,,,1.0,2.0,51,South East,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,435000.0,USA uninstalled,,,,Yes,,,Yes,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
2451,9350467,,1.0,1.0,"Living area (residential, urban or rural)",151,3.0,,,,1.0,2.0,18,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,530000.0,USA hyper equipped,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
2452,9350472,,1.0,1.0,"Living area (residential, urban or rural)",149,3.0,,,,1.0,2.0,25,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,430000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
2456,9351470,,1.0,,,148,3.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Pathoekeweg 120 B 1.01 8000- Brugge,,Yes,Yes,,No,340620.0,,,,,,,,No,,Yes,,Yes,Yes,,,No,,,,Yes,Yes,,,,,,
2457,9351472,,,1.0,,79,2.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Pathoekeweg 120 B 1.01 8000- Brugge,,Yes,Yes,,No,247205.0,,,,,,,,No,,No,,Yes,Yes,,,No,,,,Yes,Yes,,,,,,
2459,9352928,,,,Urban,71,1.0,,,,,,18,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,255000.0,Installed,,,As new,,,2.0,No,,,,Yes,No,,,,,,,,,,,,,,
2461,9352929,,,,Urban,87,2.0,,,,,,29,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,310000.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2478,9172131,,2.0,,"Living area (residential, urban or rural)",115,2.0,,,,2.0,2.0,76,,78.0,A,Not specified,Not specified,No,Leopold 2 laan 83a 8670- Oostduinkerke,,,,,,775000.0,Hyper equipped,,2013.0,As new,,,,,,,,Yes,,,1.379,,,,,,,,,,,,
2480,9176458,,1.0,,,112,2.0,,,,1.0,1.0,35,,,Not specified,Not specified,Not specified,No,Stationstraat 4/1 8770- Ingelmunster,,No,Yes,,Yes,280000.0,,,,As new,,,,No,,No,,Yes,No,,,Yes,,,,,,,,,,,
2482,9204480,,1.0,,,,2.0,,,,2.0,,,,,Not specified,Not specified,Not specified,No,Kapellestraat 55 9940- Evergem,,,,,No,189900.0,,,,,,,2.0,,,,,,,,,No,,,,,,,,,,,
2499,9208019,,1.0,,,,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Roeselaarseweg 12 8820- Torhout,,,,,No,215000.0,,,2021.0,Good,,,2.0,,,,,,,,,No,,,,,,,,,,,
2500,9308584,,1.0,1.0,,110,2.0,,,,1.0,2.0,,,228.0,E,Not specified,Not specified,No,Avenue des Trembles 3b 1640- Rhode-St-Genese,40m² square meters,,,,No,365000.0,Installed,10,1970.0,,,,2.0,,,,,,,,,No,,,,,,,,,,,40
2513,9338759,,1.0,1.0,,74,2.0,,,,2.0,,20,,,Not specified,Not specified,Not specified,No,Rue des Raines 1 4800- Verviers,,No,,,Yes,185000.0,Installed,,2022.0,As new,,,2.0,Yes,,,,,,,,,,,,,,,,,,,
2515,9346849,,1.0,,,94,2.0,15,11,,1.0,1.0,9,,40.0,A,Not specified,Not specified,No,Wichelsesteenweg 109 9340- Lede,33m² square meters,Yes,,,,264664.0,Hyper equipped,9,2021.0,As new,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,33
2516,9346850,,1.0,,,108,3.0,16,10,10,2.0,2.0,9,,40.0,A,Not specified,Not specified,No,Wichelsesteenweg 109 9340- Lede,30m² square meters,Yes,,,,320000.0,Hyper equipped,8,2021.0,As new,,,2.0,,,,,Yes,No,,,Yes,,,,,,,,,,,30
2517,9346848,,1.0,,Urban,73,1.0,15,,,1.0,1.0,6,,40.0,A,Not specified,Not specified,No,Wichelsesteenweg 109 9340- Lede,30m² square meters,Yes,,,,228973.0,Hyper equipped,8,2021.0,As new,,,2.0,,,,,Yes,No,,,,,,,,,,,,,,30
2520,9351272,,1.0,1.0,,100,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,"Avenue du Centenaire, 56 6061- Montignies-sur-Sambre",,,,Gas,Yes,225000.0,Installed,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
2523,9168558,,,1.0,,70,1.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,177461.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2524,9168570,,,1.0,,91,2.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,215782.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2525,9168572,,,1.0,,90,1.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,212218.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2526,9168569,,,1.0,,67,1.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,184280.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2527,9168571,,,1.0,,84,2.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,212132.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2528,9168568,,,1.0,,60,1.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,164985.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,Yes,,,,,,
2537,9208686,,,1.0,,50,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,"place d'Omalius, 1 5000- Namur",,,,,,110000.0,,,,As new,,,,,,,,,,,,,,,,,,,,,,,
2538,9208687,,,1.0,,60,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,"place d'Omalius, 1 5000- Namur",,,,,,117400.0,,,,As new,,,,,,,,,,,,,,,,,Yes,,,,,,
2539,9208694,,,1.0,,80,2.0,,,,2.0,,,,,Not specified,Not specified,Not specified,No,"place d'Omalius, 1 5000- Namur",,,,,,148900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,9208688,,,1.0,,85,2.0,,,,2.0,,,,,Not specified,Not specified,Not specified,No,"place d'Omalius, 1 5000- Namur",,,,,,178500.0,,,,As new,,,,,,,,,,,,,,,,,Yes,,,,,,
2557,9229323,,,2.0,"Living area (residential, urban or rural)",75,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Rue de l'école 7 5575- Patignies,,,,Gas,Yes,147500.0,Installed,,2020.0,As new,Yes,,4.0,,,,Yes,,,,,,,,,,,,,,,,
2558,9244440,,,1.0,,,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Dorp 6 9920- Lovendegem,,No,Yes,Gas,Yes,182280.0,Installed,,2017.0,As new,,,,No,,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
2559,9244441,,,1.0,,,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Dorp 6 9920- Lovendegem,,No,Yes,Gas,Yes,239051.0,Installed,,2017.0,As new,,,,No,,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
2560,9244442,,,1.0,,,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Dorp 6 9920- Lovendegem,,No,Yes,Gas,Yes,285425.0,Installed,,2017.0,As new,,,,No,,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
2561,9244443,,,1.0,,,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Dorp 6 9920- Lovendegem,,No,Yes,Gas,No,198132.0,Installed,,2017.0,As new,,,,No,,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
2563,9332863,,,1.0,,60,2.0,,,,2.0,2.0,13,,,Not specified,Not specified,Not specified,No,de Grunnelaan 10 1970- Wezembeek-Oppem,,,,,,179950.0,USA installed,,,As new,,,,Yes,,,,,,,,,,,,,,,,,,,
2564,9332861,,,1.0,,100,2.0,,,,2.0,,16,,,Not specified,Not specified,Not specified,No,de Grunnelaan 10 1970- Wezembeek-Oppem,,Yes,,,,172500.0,,,,Good,,,,Yes,,,,,,,,,,,,,,,,,,,
2577,9166282,,,,"Living area (residential, urban or rural)",90,2.0,12,12,,1.0,1.0,6,South,,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",,Yes,,,,210500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
2589,9173627,,,,"Living area (residential, urban or rural)",,3.0,,,,,,,,,Not specified,Not specified,Not specified,No,Generaal Lemanstraat 552018- Antwerpen,,,,,,539500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,9176128,,,,Urban,17,1.0,,,,1.0,,,,71.0,A,72 kg CO₂/m²,Not specified,No,Vlamingstraat 62 8000- Brugge,,Yes,,,,99000.0,Installed,,2016.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2596,9177960,,,,Countryside,87,2.0,13,9,,1.0,1.0,10,South West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,38m² square meters,Yes,Yes,Gas,,232159.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,38
2599,9177881,,,,Countryside,88,2.0,12,9,,1.0,1.0,11,South West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,39m² square meters,Yes,Yes,Gas,,211433.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,39
2601,9178035,,,,Countryside,84,2.0,13,9,,1.0,1.0,10,West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,33m² square meters,Yes,Yes,Gas,,212122.0,Hyper equipped,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,33
