,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10121912,10121912,house,townhouse,399000,forsale,2850,l,installed,1976,asnew,gas,123,4,173,,true,105,true,,,1,,,Antwerp,,1976,As new,2,,190m²square meters,,Installed,,4,,,,2,2,Yes,No,173m²square meters,,South East,10m²square meters,123 kWh/m²kilowatt hour per square meters,B,20220919-0002677761-RES-1,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 399,000399000 €",,No,"Frans de L'arbrelaan, 57 2170- Merksem",http://www.janssenenjanssen.be,1315084 - 1314338,Antwerp,,6 m,6 mmeters,,,,,1,,,,,,,,,,,,,,,105m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9921826,9921826,house,house,424000,forsale,2180,l,,,good,gas,199,5,0,,,,,,,2,,,Antwerp,Depending on the tenant,,Good,3,,255m²square meters,,,,5,,,,3,3,,No,,Yes,South,,199 kWh/m²kilowatt hour per square meters,B,20220209-0001514228-RES-6,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 424,000424000 €",€ 951951 €,No,Kloosterstraat 89-93 2180- Ekeren,http://www.heylenvastgoed.be,57774 - EKE-22-SSW-0,Antwerp,,7 m,,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077681,10077681,house,house,419000,forsale,2380,l,semiequipped,2012,good,gas,181,2,333,,,120,,,,,,,Antwerp,After signing the deed,2012,Good,3,,197m²square meters,,Semi equipped,21m²square meters,2,18m²square meters,17m²square meters,,1,2,,No,333m²square meters,,West,,181 kWh/m²kilowatt hour per square meters,B,20220810-0002653509-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 419,000419000 €",,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,63978 - TUR-22-JEF-0,Antwerp,,,,Yes,,,,,,,,,,,,,,,,,,,120m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9921801,9921801,house,apartmentblock,424000,forsale,2180,l,,,good,gas,199,5,0,,,,,,,2,,,Antwerp,Depending on the tenant,,Good,3,,255m²square meters,,,,5,,,,3,3,,No,,Yes,South,,199 kWh/m²kilowatt hour per square meters,B,20220209-0001514228-RES-6,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 424,000424000 €",€ 951951 €,Yes,Kloosterstraat 89-93 2180- Ekeren,http://www.heylenvastgoed.be,57773 - EKE-22-SSW-0,Antwerp,,7 m,,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118860,10118860,house,house,424000,forsale,2627,l,notinstalled,,justrenovated,gas,192,4,450,,true,330,,,,1,,,Antwerp,,,Just renovated,3,,200m²square meters,,Not installed,15m²square meters,4,16m²square meters,15m²square meters,11m²square meters,2,3,,No,450m²square meters,,South West,,192 kWh/m²kilowatt hour per square meters,B,20190324-0002141812-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 424,000424000 €",€ 762762 €,No,Kasteelstraat 58 2000- Antwerpen,,1381098 - 2022/V/011,Antwerp,,,,Yes,,,,1,,,,,,,14m²square meters,,,,,,,,330m²square meters,,,,,,,,,,,,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126164,10126164,house,house,445000,forsale,2540,l,installed,1954,tobedoneup,fueloil,838,3,302,,true,,,,,1,,,Antwerp,After signing the deed,1954,To be done up,3,,153m²square meters,,Installed,,3,,,,1,,Yes,No,302m²square meters,Yes,North West,,838 kWh/m²kilowatt hour per square meters,F,Certificaat-20220920-0002678860-RES-1.pdf,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 445,000445000 €","€ 1,0581058 €",No,Antwerpsestraat 34 2640- Mortsel,http://www.heylenvastgoed.be,64613 - MEC-22-BQU-0,Antwerp,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124619,10124619,house,house,425000,forsale,2520,l,installed,1956,good,electric,653,3,824,,true,433,true,true,,2,3,,Antwerp,After signing the deed,1956,Good,3,3,136m²square meters,,Installed,,3,,,,1,2,Yes,No,824m²square meters,,East,20m²square meters,653 kWh/m²kilowatt hour per square meters,F,20220706-0002611353-RES-2,Not specified,Not specified,No,Electric,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,67536 - LIE-22-JLE-0,Antwerp,,,,Yes,,,,2,,,,Yes,,,,,,,,,,,433m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124621,10124621,house,house,449000,forsale,2280,l,semiequipped,1938,asnew,gas,299,3,414,,true,,true,true,,,,,Antwerp,To be defined,1938,As new,4,,213m²square meters,,Semi equipped,,3,,,,2,2,Yes,No,414m²square meters,,,,299 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €",,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,67095 - LIE-22-GLE-1,Antwerp,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080358,10080358,house,house,448000,forsale,2220,l,semiequipped,1971,good,fueloil,384,3,1385,,,,true,true,,1,4,,Antwerp,After signing the deed,1971,Good,4,4,288m²square meters,,Semi equipped,,3,,,,1,2,,No,1385m²square meters,Yes,South West,,384 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 448,000448000 €",,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,65526 - HEI-22-FVD-0,Antwerp,,,30 mmeters,Yes,,,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134535,10134535,house,house,450000,forsale,2650,l,installed,,good,gas,305,4,150,,true,,true,,,,,,Antwerp,After signing the deed,,Good,2,,166m²square meters,,Installed,,4,,,,2,3,Yes,No,150m²square meters,Yes,South,,305 kWh/m²kilowatt hour per square meters,D,001761377,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,,"€ 450,000450000 €",,No,Prins Boudewijnlaaan 318 2610- Wilrijk,,2007 - 1963,Antwerp,,,,Yes,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9640394,9640394,house,apartmentblock,475000,forsale,2060,l,installed,,torenovate,gas,895,0,123,,,,,,,,,,Antwerp,,,To renovate,2,,227m²square meters,,Installed,,,,,,,,,No,123m²square meters,,,,895 kWh/m²kilowatt hour per square meters,F,2345071,Not specified,Not specified,,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 475,000475000 €","€ 1,2631263 €",Yes,Frankrijlei 156/158 2000- Antwerpen,http://www.dewaele.com,D2000-20067,Antwerp,,,,,,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134954,10134954,house,house,459000,forsale,2275,l,installed,2009,good,,57,5,339,,,,true,,,1,,,Antwerp,After signing the deed,2009,Good,2,,265m²square meters,,Installed,,5,,,,1,,,No,339m²square meters,Yes,North,,57 kWh/m²kilowatt hour per square meters,A,20220924-0002681784-RES-1,Not specified,Not specified,No,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 459,000459000 €","€ 1,0191019 €",No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,67726 - HER-22-BST-1,Antwerp,,,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131663,10131663,house,house,549000,forsale,2650,l,installed,1967,justrenovated,gas,253,4,270,,true,,,,,2,2,,Antwerp,Immediately,1967,Just renovated,,2,175m²square meters,,Installed,,4,,,,2,,Yes,No,270m²square meters,Yes,South,,253 kWh/m²kilowatt hour per square meters,C,000263281,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 549,000549000 €",,No,Prins Boudewijnlaaan 318 2610- Wilrijk,,2003 - 1971,Antwerp,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046409,10046409,house,villa,495000,forsale,2180,l,semiequipped,1978,,gas,275,5,1025,,,600,true,,,2,2,,Antwerp,After signing the deed,1978,,4,2,314m²square meters,36m²square meters,Semi equipped,,5,,,,1,2,,No,1025m²square meters,,South East,16m²square meters,275 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 495,000495000 €",,No,Veltwijcklaan 5 2180- Ekeren,http://www.sinjoor.be,21322 - SIE/22/014b2,Antwerp,,,15.54 mmeters,,,,,2,,,,,,,,,,,,,,,600m²square meters,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9873294,9873294,house,villa,549000,forsale,2900,l,installed,2023,,,30,3,584,,,,,,,,2,,Antwerp,,2023,,4,2,176m²square meters,45m²square meters,Installed,,3,,,,1,2,,No,584m²square meters,,,,30 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,,Yes,No,,Recognized flood zone,"Living area (residential, urban or rural)","€ 549,000549000 €",,No,"Bredabaan, 896 2170- Merksem",http://www.sinjoor.be,20897 - SIN/22/034,Antwerp,,,12.46 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031660,10031660,house,apartmentblock,556500,forsale,2100,l,semiequipped,,justrenovated,gas,184,2,66,,,,,,,,,,Antwerp,,,Just renovated,2,,198m²square meters,,Semi equipped,,2,,,,2,,,No,66m²square meters,,,,184 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 556,500556500 €","€ 2,3672367 €",Yes,"Bredabaan, 896 2170- Merksem",http://www.sinjoor.be,21278 - SIN/22/019 G,Antwerp,,,3.6 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133344,10133344,house,villa,719000,forsale,2560,l,installed,,good,gas,157,4,910,,,,true,true,,,,,Antwerp,,,Good,4,,256m²square meters,,Installed,,4,,,,3,4,,No,910m²square meters,,,,157 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 719,000719000 €",€ 690690 €,No,Kattendijkdok Westkaai 33 2000- Antwerpen,http://www.koosi.be,2454 - KOO/22/057bis,Antwerp,,,15 mmeters,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786416,9786416,house,apartmentblock,795000,forsale,2000,l,,,good,,288,2,71,,,12,,,,,,,Antwerp,,,Good,2,,249m²square meters,,,,2,,,,2,,,No,71m²square meters,,,,288 kWh/m²kilowatt hour per square meters,C,20150131-0001727025-1,Not specified,Not specified,No,,Yes,Yes,No,Yes,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 795,000795000 €","€ 1,5581558 €",Yes,"Bredabaan, 896 2170- Merksem",http://www.sinjoor.be,20826 - SIA/22/010,Antwerp,Historisch,7 m,7 mmeters,Yes,,,,,,,,,,,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Cleyne Clocke,,,,,,,,,,,,,,,,,,,,
9992454,9992454,house,apartmentblock,875000,forsale,2450,l,usasemiequipped,1997,good,gas,333,3,1336,,true,,,,,,2,,Antwerp,After signing the deed,1997,Good,4,2,,,USA semi equipped,7m²square meters,3,15m²square meters,15m²square meters,15m²square meters,2,2,Yes,No,1336m²square meters,,,,333 kWh/m²kilowatt hour per square meters,D,20190501-0002155930-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 875,000875000 €",,Yes,Markt 20 2440- Geel,http://www.heylenvastgoed.be,61239 - GEE-21-SDP-0,Antwerp,,,,Yes,,,,,Shop street,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148278,10148278,house,house,299500,forsale,2060,l,installed,,torenovate,gas,477,4,100,,,25,,,,,,,Antwerp,,,To renovate,2,,172m²square meters,,Installed,,4,,,,1,1,,No,100m²square meters,,,,477 kWh/m²kilowatt hour per square meters,E,0002682316,Not specified,Not specified,,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 299,500299500 €",€ 555555 €,No,Frankrijlei 156/158 2000- Antwerpen,http://www.dewaele.com,D2000-22128,Antwerp,,,,,,,,,Urban,,,,,,,,,,,,,,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008671,10008671,house,villa,1650000,forsale,2960,l,,1990,,gas,188,4,8347,,,7847,true,,,2,10,,Antwerp,After signing the deed,1990,,4,10,285m²square meters,,,,4,,,,1,,,No,8347m²square meters,,,,188 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,Yes,,Non flood zone,"Living area (residential, urban or rural)","€ 1,650,0001650000 €","€ 2,6912691 €",No,"Bredabaan, 896 2170- Merksem",http://www.sinjoor.be,21155 - SIN/22/074,Antwerp,,15 m,143 mmeters,,,,,2,,,,,,,,,,,,,,,7847m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148317,10148317,house,house,340000,forsale,2170,l,notinstalled,1957,torenovate,gas,300,4,144,,true,,,,,3,1,,Antwerp,After signing the deed,1957,To renovate,2,1,156m²square meters,,Not installed,13m²square meters,4,13m²square meters,13m²square meters,8m²square meters,,2,,,144m²square meters,,,,300 kWh/m²kilowatt hour per square meters,C,20180206-0002030875-1,Not specified,Not specified,,Gas,Yes,,,,,,,"€ 340,000340000 €","€ 1,6411641 €",No,,,,Antwerp,,7 m,7 mmeters,Yes,,,,3,Urban,,No,No,,No,46m²square meters,,No,Yes,No,No,Yes,Connected,,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159327,10159327,house,house,239000,forsale,2100,l,installed,,torenovate,gas,681,3,0,,true,30,,,,,,,Antwerp,After signing the deed,,To renovate,,,97m²square meters,27m²square meters,Installed,4m²square meters,3,14m²square meters,9m²square meters,,,,,No,,,,,681 kWh/m²kilowatt hour per square meters,F,Certificaat-20221005-0002689350-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 239,000239000 €",,No,Plantin en Moretuslei 135A 2140- Borgerhout,http://www.immovasta.be,9858 - 2651,Antwerp,,,,,,,,,,,,,,,32m²square meters,,,,,,,,30m²square meters,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9958141,9958141,house,house,519000,forsale,2160,l,usahyperequipped,2021,,,97,3,230,,,,true,,,1,,1,Antwerp,After signing the deed,2021,,3,,212m²square meters,57m²square meters,USA hyper equipped,,3,,,,2,2,,No,230m²square meters,Yes,West,,97 kWh/m²kilowatt hour per square meters,A,20210930-0002470782-RES-1,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 519,000519000 €",,No,Bredabaan 260 2930- Brasschaat,http://www.heylenvastgoed.be,59573 - BRA-21-KHE-0,Antwerp,,6 m,9 mmeters,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158408,10158408,house,mixedusebuilding,149900,forsale,2170,l,semiequipped,,tobedoneup,gas,224,1,0,,true,,,,,,,,Antwerp,,,To be done up,2,,74m²square meters,36m²square meters,Semi equipped,4m²square meters,1,12m²square meters,,,1,1,Yes,No,,,,,224 kWh/m²kilowatt hour per square meters,C,20210912-0002463217-RES-1,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 149,900149900 €",€ 356356 €,Yes,Plantin en Moretuslei 135A 2140- Borgerhout,http://www.immovasta.be,9882 - 2672,Antwerp,,,,Yes,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,€ 5252 €,,,,,,,,,,,,,,,,,,,,,,,
10147006,10147006,house,house,419000,forsale,2980,l,usahyperequipped,1984,good,gas,222,3,1056,,true,,true,true,,1,2,,Antwerp,To be defined,1984,Good,4,2,202m²square meters,40m²square meters,USA hyper equipped,18m²square meters,3,18m²square meters,14m²square meters,20m²square meters,2,2,Yes,No,1056m²square meters,,,,222 kWh/m²kilowatt hour per square meters,C,20220930-0002685493,Not specified,Not specified,No,Gas,,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 419,000419000 €","€ 1,7461746 €",No,Antwerpsesteenweg 209 2390- Westmalle,,4961809,Antwerp,,9 m,15 mmeters,Yes,,,,1,Urban,,,Yes,,,,,,,,,,Connected,,,,No,Yes,,,,Yes,,,,,,,,Yes,,,,12m²square meters,,Yes,,,112m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159660,10159660,house,house,345000,forsale,2300,l,semiequipped,,justrenovated,gas,221,3,42,,,,true,,,1,,,Antwerp,After signing the deed,,Just renovated,2,,141m²square meters,,Semi equipped,8m²square meters,3,15m²square meters,12m²square meters,,1,2,,No,42m²square meters,,,6m²square meters,221 kWh/m²kilowatt hour per square meters,C,20221003-0002687618-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,60348 - TUR-22-GME-1,Antwerp,,,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094565,10094565,house,house,215000,forsale,2170,l,semiequipped,,torenovate,,924,6,70,true,true,,,,,,,,Antwerp,To be defined,,To renovate,2,,175m²square meters,,Semi equipped,,6,,,,,1,Yes,No,70m²square meters,,,,924 kWh/m²kilowatt hour per square meters,F,20220904-0002667989-RES-1,Not specified,Not specified,,,Yes,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 215,000215000 €",€ 446446 €,No,Sint-Goriksplein 8 2650- Edegem,http://www.immojux.be,,Antwerp,,,,Yes,,,,,,,No,,,,,,,,,,,Connected,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161183,10161183,house,house,549000,forsale,2110,l,installed,1977,asnew,gas,296,4,390,,,,true,true,,1,1,,Antwerp,,1977,As new,,1,210m²square meters,,Installed,,4,,,,1,2,,,390m²square meters,Yes,South,,296 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 549,000549000 €","€ 1,2241224 €",No,Bredabaan 133 2930- Brasschaat,http://www.est8.be,Rozenlaan 2 - 2110 W,Antwerp,,,,Yes,,,No,1,,1,Yes,Yes,,,,,,No,No,No,No,Connected,,,No,No,No,No,Yes,,No,No,,,No,,,,,,All kind,,,Yes,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
10062573,10062573,house,house,398000,forsale,2960,l,installed,1969,tobedoneup,gas,,3,1715,,true,1650,true,,,2,4,,Antwerp,After signing the deed,1969,To be done up,4,4,165m²square meters,25m²square meters,Installed,8m²square meters,3,11m²square meters,6m²square meters,11m²square meters,1,2,,,1715m²square meters,,South,20m²square meters,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,Yes,No,No,No,Non flood zone,,"€ 398,000398000 €",€ 381381 €,No,,,,Antwerp,,15 m,16 mmeters,Yes,"Yes, conform",,No,2,"Living area (residential, urban or rural)",1,Yes,No,,No,3m²square meters,,No,Yes,Yes,No,Yes,Connected,1650m²square meters,South,,,,,,,,,,,,,No,No,No,No,,,,Yes,,,,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10144428,10144428,house,house,729000,forsale,2000,l,installed,,good,gas,400,6,0,,true,36,true,,,,,,Antwerp,After signing the deed,,Good,2,,274m²square meters,50m²square meters,Installed,12m²square meters,6,25m²square meters,25m²square meters,25m²square meters,2,2,,No,,,,6m²square meters,400 kWh/m²kilowatt hour per square meters,D,Certificaat-20220923-0002681166-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 729,000729000 €",,No,Plantin en Moretuslei 135A 2140- Borgerhout,http://www.immovasta.be,9869 - 2660,Antwerp,,,,,,,,,,,,,,,45m²square meters,,,,,,,,36m²square meters,,,,,,,,,,,,,,,,,,,15m²square meters,,Yes,,,,,,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10144429,10144429,house,house,729000,forsale,2140,l,installed,,good,gas,400,6,0,,true,36,true,,,,,,Antwerp,After signing the deed,,Good,2,,274m²square meters,50m²square meters,Installed,12m²square meters,6,25m²square meters,25m²square meters,25m²square meters,2,2,,No,,,,6m²square meters,400 kWh/m²kilowatt hour per square meters,D,Certificaat-20220923-0002681166-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 729,000729000 €",,No,Plantin en Moretuslei 135A 2140- Borgerhout,http://www.immovasta.be,9870 - 2661,Antwerp,,,,,,,,,,,,,,,45m²square meters,,,,,,,,36m²square meters,,,,,,,,,,,,,,,,,,,15m²square meters,,Yes,,,,,,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10144052,10144052,house,house,295000,forsale,2300,l,semiequipped,,good,gas,345,6,240,,,115,,,,1,,,Antwerp,After signing the deed,,Good,2,,250m²square meters,,Semi equipped,15m²square meters,6,25m²square meters,19m²square meters,18m²square meters,3,3,,No,240m²square meters,,South West,,345 kWh/m²kilowatt hour per square meters,D,20220513-0002603483-RES-2,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 295,000295000 €",,No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,68451 - TUR-22-GME-0,Antwerp,,,,Yes,,,,1,,,,,,,,,,,,,,,115m²square meters,,,,,,,,,,,,,,,,,,,17m²square meters,,,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10146702,10146702,house,house,365000,forsale,2950,l,installed,1952,tobedoneup,gas,409,3,146,,true,54,,,,,1,,Antwerp,After signing the deed,1952,To be done up,1,1,146m²square meters,35m²square meters,Installed,13m²square meters,3,18m²square meters,17m²square meters,10m²square meters,1,2,,,146m²square meters,,,,409 kWh/m²kilowatt hour per square meters,E,20220831-0002665647-RES-1,12384 kg CO₂/m²,Not specified,,Gas,Yes,,,No,No,Non flood zone,,"€ 365,000365000 €",€ 827827 €,No,,,,Antwerp,,6 m,,Yes,No,,No,,"Living area (residential, urban or rural)",,No,No,,No,9m²square meters,,No,Yes,No,No,No,Connected,54m²square meters,,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,All kind,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156488,10156488,house,apartmentblock,269000,forsale,2640,l,semiequipped,,,gas,496,3,0,,true,,,,,,,,Antwerp,,,,2,,184m²square meters,,Semi equipped,,3,,,,2,2,Yes,No,,,,,496 kWh/m²kilowatt hour per square meters,E,20220623-0002628529-RES-1,Not specified,Not specified,No,Gas,Yes,,,Yes,,,,"€ 269,000269000 €","€ 1,1631163 €",Yes,"Fruithoflaan, 1 2600- Berchem",http://www.coprimmo.be,17292 - 374842,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
