,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
9933567,9933567,house,exceptionalproperty,895000,forsale,7130,xl,hyperequipped,,good,fueloil,321,9,0,,true,,true,,true,2,,,Hainaut,Good,3,2,,9,9,Yes,,Yes,321 kWh/m²kilowatt hour per square meters,D,20220327002632,Not specified,258834 kWh/year,"€ 895,000895000 €",,No,"Avenue Marie José, 59 7130- Binche",http://www.immobilieregebbia.be,4773063,Hainaut,,,,,,,,35m²square meters,Hyper equipped,35m²square meters,37m²square meters,25m²square meters,8,9,,,,,Connected,No,,Yes,,Yes,,Yes,Fuel oil,Yes,,,,19m²square meters,,,,Yes,21m²square meters,,,,,,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156774,10156774,house,apartmentblock,165000,forsale,6200,xl,,,,,263,4,0,,true,,,,,,,,Hainaut,,,,,4,,Yes,,,263 kWh/m²kilowatt hour per square meters,D,20220828001030,263 kg CO₂/m²,25152 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",,Yes,Rue de gilly 81 6200- Châtelineau,,567 - 345345811,Hainaut,After signing the deed,,,,,,131m²square meters,,,,,,2,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9251785,9251785,house,villa,2250000,forsale,7322,xl,hyperequipped,2017,asnew,,119,5,7165,,true,,true,true,true,1,4,,Hainaut,As new,4,1,,5,4,Yes,,Yes,119 kWh/m²kilowatt hour per square meters,B,20191205500448,Not specified,63585 kWh/year,"€ 2,250,0002250000 €",,No,Rue Louis Chevalier 44/bt1 7521- Chercq,http://www.immobilieredeprestige.com,4322027,Hainaut,,,2017,,4,,536m²square meters,66m²square meters,Hyper equipped,,,,,,,,7165m²square meters,,,No,,Yes,,Yes,,Yes,,,Non flood zone,,,49m²square meters,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9568607,9568607,house,house,279000,forsale,7000,xl,,2022,,gas,,3,425,,,,true,,,,,1,Hainaut,,3,,,3,1,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 279,000279000 €",,,Route d’Ath 71 7050- Jurbise,http://www.snconcept.be,,Hainaut,After signing the deed,,2022,,,,192m²square meters,50m²square meters,,17m²square meters,16m²square meters,12m²square meters,1,2,,,425m²square meters,9 mmeters,Connected,,,,,,,,Gas,Yes,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,SN CONCEPT SRL,,,,,,,,,,,,,,,,,,,,,
9299010,9299010,house,villa,2250000,forsale,7500,xl,usahyperequipped,2017,asnew,,119,5,7165,true,true,,true,true,true,1,4,,Hainaut,As new,4,1,,5,4,Yes,,Yes,119 kWh/m²kilowatt hour per square meters,B,20191205500448,Not specified,63585 kWh/year,"€ 2,250,0002250000 €",,No,Rue Louis Chevalier 44/bt1 7521- Chercq,http://www.immobilieredeprestige.com,4344800,Hainaut,After signing the deed,,2017,,4,,536m²square meters,66m²square meters,USA hyper equipped,,,,,,Yes,,7165m²square meters,,,No,,Yes,,Yes,Yes,Yes,,,Non flood zone,,,49m²square meters,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138679,10138679,house,house,189000,forsale,7640,xl,installed,,,pellet,380,3,150,true,true,50,,,,1,,,Hainaut,,,1,,3,1,,50m²square meters,,380 kWh/m²kilowatt hour per square meters,E,20170727011553,Not specified,Not specified,"€ 189,000189000 €",€ 568568 €,No,Rue des Moulins85 7700- Mouscron,http://www.immo-gic.com,LB659,Hainaut,,,,,,,142m²square meters,40m²square meters,Installed,,,,,1,,,150m²square meters,,Not connected,Yes,,,,,,,Pellet,No,,,,21m²square meters,,,,,,,,,,No,,,,,No,,,12m²square meters,30m²square meters,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148277,10148277,house,house,99000,forsale,6280,xl,installed,,good,gas,,2,60,,true,25,,true,,,,,Hainaut,Good,2,,Yes,2,1,,25m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 99,00099000 €",€ 193193 €,No,Chaussée de Courcelles 154 6041- Gosselies,http://www.lesmaisonsferrian.be/fr/,664,Hainaut,After signing the deed,,,,,,85m²square meters,,Installed,15m²square meters,18m²square meters,,,1,,No,60m²square meters,,,,,,,,,,Gas,No,,,,7m²square meters,,,,Yes,,Extended residential area,,,7m²square meters,Yes,,,,,No,,,10m²square meters,,,,,,,,,,,,,,,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155187,10155187,house,house,220000,forsale,6032,xl,installed,,good,gas,184,3,0,true,true,,true,,,,,,Hainaut,Good,2,,,3,,Yes,,Yes,184 kWh/m²kilowatt hour per square meters,C,20221004018996,Not specified,49800 kWh/year,"€ 220,000220000 €",€ 818818 €,No,RUE DU GRAND CENTRAL 19 6000- Charleroi,http://www.mageneration.be,4965235,Hainaut,,,,,,,270m²square meters,,Installed,,,,,,Yes,,,,Connected,Yes,,No,,,Yes,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155178,10155178,house,house,170000,forsale,7140,xl,installed,,asnew,gas,319,3,0,true,true,,true,,,,,,Hainaut,As new,2,,,3,1,Yes,,Yes,319 kWh/m²kilowatt hour per square meters,D,20160113021791,59 kg CO₂/m²,36282 kWh/year,"€ 170,000170000 €",,No,Rue d' Houdeng 196 bte 1 7070- Le Roeulx,http://www.immo-chrono.be,4967879,Hainaut,After signing the deed,,,,,,114m²square meters,13m²square meters,Installed,18m²square meters,9m²square meters,7m²square meters,,1,Yes,Yes,,,Connected,Yes,,,,,,,Gas,Yes,Non flood zone,Link to the virtual visit,,15m²square meters,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10126799,10126799,house,house,50000,forsale,7971,xl,,,torestore,,552,2,0,,,,,,,,,,Hainaut,To restore,2,,,2,1,,,,552 kWh/m²kilowatt hour per square meters,G,20220919012910,Not specified,45280 kWh/year,"€ 50,00050000 €",,No,"Rue de l'Eglise, 1 7300- Boussu",http://www.logissim.be,10732 - 184678,Hainaut,Depending on the tenant,,,,,,82m²square meters,,,17m²square meters,15m²square meters,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091963,10091963,house,house,60000,forsale,6464,xl,notinstalled,,,,622,0,176,,,,,,,,3,,Hainaut,,3,,,,1,,,,622 kWh/m²kilowatt hour per square meters,G,20150118005940,Not specified,Not specified,"€ 60,00060000 €",€ 417417 €,No,Rue des ormeaux 14 6460- Chimay,,CH 2207/DV/03-1-1,Hainaut,,,,,3,,125m²square meters,38m²square meters,Not installed,,,,,,,No,176m²square meters,,,,,,,,,,,Yes,Non flood zone,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112772,10112772,house,house,85000,forsale,7640,xl,installed,,torenovate,fueloil,707,2,526,,true,,true,,,,,,Hainaut,To renovate,3,,Yes,2,1,Yes,,Yes,707 kWh/m²kilowatt hour per square meters,G,20220825012015,Not specified,84136 kWh/year,,€ 444444 €,No,"Quai Sakharov, 7 7500- Tournai",,,Hainaut,Immediately,,,,,,119m²square meters,,Installed,,,,,1,,,526m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Quentin BLATON,,,,,,,,,Link to online sale,No,fr :Sur rendez-vous pris auprès de l'Etude,"€ 85,00085000 €",,,,,,,,,
9844991,9844991,house,house,60000,forsale,7100,xl,notinstalled,,,,706,1,240,,true,,,,,,,,Hainaut,,2,,,1,1,Yes,,,706 kWh/m²kilowatt hour per square meters,G,20220404021459,70 kg CO₂/m²,61940 kWh/year,"€ 60,00060000 €",€ 247247 €,No,"Route de Mons, 313 7130- Binche (Waudrez)",http://www.confort-invest.be,4275 - 22046,Hainaut,After signing the deed,,,,,,88m²square meters,,Not installed,,,,,1,,No,240m²square meters,,,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9871733,9871733,house,house,110000,forsale,7370,xl,,,,,788,2,121,,,,,,,,,,Hainaut,,2,,,2,,,,,788 kWh/m²kilowatt hour per square meters,G,20131130000943,Not specified,71585 kWh/year,"€ 110,000110000 €",€ 123123 €,No,"Rue de l'Eglise, 1 7300- Boussu",http://www.logissim.be,10568 - 184541,Hainaut,To be defined,,,,,,91m²square meters,,,,,,1,,,No,121m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077043,10077043,house,house,177500,forsale,6000,xl,,,,,,3,0,,,,,,,,,,Hainaut,,2,,,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 177,500177500 €",,No,Rue de gilly 81 6200- Châtelineau,,447 - Immeuble mixte,Hainaut,After signing the deed,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Non flood zone,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081803,10081803,house,house,130000,forsale,7331,xl,semiequipped,,tobedoneup,fueloil,731,2,0,true,true,80,true,,,,2,,Hainaut,To be done up,2,,,2,1,Yes,80m²square meters,,731 kWh/m²kilowatt hour per square meters,G,20141210012020,Not specified,96966 kWh/year,"Make an offer starting from€ 130,000Make an offer starting from130000 €",€ 451451 €,No,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4893404,Hainaut,After signing the deed,,,6 m,2,,120m²square meters,17m²square meters,Semi equipped,17m²square meters,12m²square meters,,1,2,Yes,No,,20 mmeters,Connected,No,40m²square meters,No,No,,Yes,,Fuel oil,Yes,Non flood zone,,,12m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088678,10088678,house,house,177500,forsale,6000,xl,,,,,,3,0,,,,,,,,,,Hainaut,,2,,,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 177,500177500 €",,No,Rue de gilly 81 6200- Châtelineau,,334 - Immeuble mixte,Hainaut,After signing the deed,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Non flood zone,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099650,10099650,house,house,135000,forsale,7390,xl,installed,,good,gas,459,2,150,true,true,,true,,,,,,Hainaut,Good,2,,,2,1,Yes,,,459 kWh/m²kilowatt hour per square meters,F,20220617012742,84 kg CO₂/m²,51978 kWh/year,"Make an offer starting from€ 135,000Make an offer starting from135000 €",€ 339339 €,No,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4904799,Hainaut,After signing the deed,,,6 m,,,,16m²square meters,Installed,16m²square meters,16m²square meters,,1,1,Yes,No,150m²square meters,6 mmeters,Connected,Yes,13m²square meters,,,,,,Gas,Yes,,,,9m²square meters,,,,Yes,,,,,,,,115m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9636689,9636689,house,house,140000,forsale,7300,xl,usasemiequipped,,,gas,539,5,160,true,true,,true,,,,1,,Hainaut,,3,,,5,1,Yes,,Yes,539 kWh/m²kilowatt hour per square meters,G,20160612011813,98 kg CO₂/m²,115402 kWh/year,"€ 140,000140000 €",€ 537537 €,No,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4589530,Hainaut,After signing the deed,,,14 m,1,,243m²square meters,16m²square meters,USA semi equipped,19m²square meters,19m²square meters,24m²square meters,1,2,Yes,No,160m²square meters,14 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,,,,,16m²square meters,,,,Yes,10m²square meters,,,,,,,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014457,10014457,house,house,149000,forsale,7370,xl,installed,,asnew,fueloil,498,3,0,,true,306,,true,,1,,,Hainaut,As new,3,1,Yes,3,1,,306m²square meters,,498 kWh/m²kilowatt hour per square meters,F,20220921025545,Not specified,Not specified,"€ 149,000149000 €",€ 316316 €,No,Chaussée de Courcelles 154 6041- Gosselies,http://www.lesmaisonsferrian.be/fr/,826,Hainaut,After signing the deed,,,,,,83m²square meters,,Installed,11m²square meters,17m²square meters,,,1,,No,,,,,,,,,,,Fuel oil,Yes,,,,17m²square meters,,,,,,Extended residential area,,,11m²square meters,Yes,,,,,No,,,12m²square meters,,,,,,,,,,,,,,,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9855887,9855887,house,house,189000,forsale,7170,xl,installed,,,,771,1,0,true,,132,true,,,1,,,Hainaut,,,1,,1,,,132m²square meters,,771 kWh/m²kilowatt hour per square meters,G,Not specified,9 kg CO₂/m²,127173 kWh/year,"€ 189,000189000 €",€ 518518 €,No,Place du Marché 11 7140- Morlanwelz,,6878569,Hainaut,To be defined,,,,,,,31m²square meters,Installed,55m²square meters,,,1,,Yes,No,,,Connected,No,73m²square meters,No,No,Yes,No,No,,Yes,,,,,,,No,Yes,,,,,,No,No,,,,No,,,,,,No,No,No,No,No,,No,,No,,,,No,No,No,No,,,No,,,,,,,Mireille DE BELDER,,,,,,,,,,,,,,,,,,,,,
10006411,10006411,house,house,190000,forsale,7800,xl,installed,,good,gas,,2,0,true,true,450,,true,,,,,Hainaut,Good,3,,Yes,2,,,450m²square meters,,Not specified,F,Not specified,Not specified,Not specified,"€ 190,000190000 €",,No,,,,Hainaut,Immediately,,,,,,183m²square meters,,Installed,,,,1,1,,,,,Connected,Yes,,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,Yes,,,,,No,,Yes,20m²square meters,48m²square meters,,No,No,No,No,No,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10080515,10080515,house,house,190000,forsale,7301,xl,semiequipped,,tobedoneup,,357,3,493,,,,true,true,,1,,,Hainaut,To be done up,4,1,,3,1,,,Yes,357 kWh/m²kilowatt hour per square meters,E,20210727006205,89 kg CO₂/m²,55918 kWh/year,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 580580 €,No,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4881746,Hainaut,After signing the deed,,,,,,120m²square meters,25m²square meters,Semi equipped,16m²square meters,17m²square meters,14m²square meters,1,2,,No,493m²square meters,15 mmeters,,No,,No,No,,Yes,No,,,,,,,,,,Yes,,,,,14m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131356,10131356,house,apartmentblock,199000,forsale,6250,xl,,,,fueloil,722,3,0,,true,,,,,2,,,Hainaut,,3,2,,3,1,Yes,,,722 kWh/m²kilowatt hour per square meters,G,20220408022462 + 20220420024041,Not specified,63515 kWh/year,"€ 199,000199000 €",€ 317317 €,Yes,"Rue de l'hôtel ville, 13 5650- Walcourt",http://www.century21.be/leslacs-walcourt,GE2208/AB/06-1-1,Hainaut,,,,,,,184m²square meters,32m²square meters,,,,,1,1,,No,,,,,,,,,,,Fuel oil,Yes,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131359,10131359,house,house,199000,forsale,6250,xl,,,,fueloil,722,3,0,,true,,,,,2,,,Hainaut,,3,2,,3,1,Yes,,,722 kWh/m²kilowatt hour per square meters,G,20220408022462 + 20220420024041,Not specified,63515 kWh/year,"€ 199,000199000 €",€ 317317 €,No,"Rue de l'hôtel ville, 13 5650- Walcourt",http://www.century21.be/leslacs-walcourt,GE2208/AB/06-1,Hainaut,,,,,,,184m²square meters,32m²square meters,,,,,1,1,,No,,,,,,,,,,,Fuel oil,Yes,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019055,10019055,house,house,190000,forsale,7971,xl,installed,,good,fueloil,430,4,880,true,true,170,true,true,,,2,,Hainaut,Good,3,,,4,2,Yes,170m²square meters,,430 kWh/m²kilowatt hour per square meters,F,20220518013329,107 kg CO₂/m²,82402 kWh/year,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 575575 €,No,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4845566,Hainaut,To be defined,,,5 m,2,,,13m²square meters,Installed,14m²square meters,13m²square meters,13m²square meters,2,2,Yes,No,880m²square meters,5 mmeters,Connected,No,60m²square meters,No,No,Yes,Yes,,Fuel oil,Yes,Non flood zone,,,15m²square meters,,,,Yes,12m²square meters,,,,13m²square meters,Yes,Yes,120m²square meters,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985756,9985756,house,house,300000,forsale,7321,xl,,,,,,4,1407,,true,,,,,1,2,,Hainaut,,4,1,,4,,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 300,000300000 €",,No,"Rue de l'Eglise, 1 7300- Boussu",http://www.logissim.be,10645 - 184602,Hainaut,After signing the deed,,,,2,,162m²square meters,,,24m²square meters,14m²square meters,13m²square meters,,,,No,1407m²square meters,,,,,,,,,,,,,,,20m²square meters,,,No,,11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032146,10032146,house,house,215000,forsale,6040,xl,notinstalled,,,gas,233,4,418,,true,,,,,1,,,Hainaut,,3,1,,4,2,,,,233 kWh/m²kilowatt hour per square meters,C,20220429002656,Not specified,Not specified,"€ 215,000215000 €",€ 743743 €,No,Chaussée de Courcelles 154 6041- Gosselies,http://www.lesmaisonsferrian.be/fr/,816,Hainaut,After signing the deed,,,,,,364m²square meters,38m²square meters,Not installed,25m²square meters,20m²square meters,15m²square meters,,1,,No,418m²square meters,,,,,,,,,,Gas,Yes,,,,20m²square meters,,,,Yes,24m²square meters,Extended residential area,,,,No,,,,,No,Yes,,40m²square meters,,,,,,,,,,,,,,,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9815757,9815757,house,house,278000,forsale,6044,xl,hyperequipped,2022,justrenovated,wood,,3,234,,true,40,true,,,1,1,,Hainaut,Just renovated,3,1,,3,1,Yes,40m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 278,000278000 €",,No,Avenue Paul pastur 380 6032- Mont-sur-Marchienne,http://www.club-Immobilier.be,1-roux-989,Hainaut,To be defined,,2022,,1,,143m²square meters,50m²square meters,Hyper equipped,13m²square meters,10m²square meters,,1,2,,No,234m²square meters,,,,15m²square meters,,,,,,Wood,No,,,,,,South,No,,,,,,,,,,,,,Yes,,,,,,,,,,East,,,,,,,No,No,No,,,,,,,,,,,Adeline GUAIETTA,,,,,,,,,,,,,,,,,,,,,
10046720,10046720,house,villa,300000,forsale,7070,xl,installed,,good,gas,298,4,0,,true,,,true,,2,,,Hainaut,Good,,2,,4,1,,,,298 kWh/m²kilowatt hour per square meters,D,20191003000119,50 kg CO₂/m²,92736 kWh/year,"€ 300,000300000 €",€ 890890 €,No,Place du Marché 11 7140- Morlanwelz,,7294300,Hainaut,After signing the deed,,,,,,,50m²square meters,Installed,20m²square meters,17m²square meters,12m²square meters,1,2,,No,,,Connected,No,,No,No,Yes,Yes,No,Gas,Yes,,,1,,,,No,,11m²square meters,,Yes,No,8m²square meters,Yes,No,,No,,No,Yes,,14m²square meters,,,No,No,No,No,Yes,,No,,No,,,,Yes,Yes,Yes,No,,,"Yes, not conform",,,,No,,,Hadrien POLAIN,,,,,,,,,,,,,,,,,,,,,
10132837,10132837,house,mixedusebuilding,435000,forsale,7012,xl,usainstalled,,good,gas,80,5,400,,,90,true,true,,,,,Hainaut,Good,2,,,5,2,,90m²square meters,,80 kWh/m²kilowatt hour per square meters,A,20170327015555,4 kg CO₂/m²,12863 kWh/year,"€ 435,000435000 €","€ 1,9081908 €",Yes,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4957406,Hainaut,After signing the deed,,,11 m,,,,36m²square meters,USA installed,11m²square meters,8m²square meters,14m²square meters,2,3,,No,400m²square meters,11 mmeters,Connected,Yes,50m²square meters,No,No,Yes,Yes,No,Gas,Yes,,,,10m²square meters,,,,Yes,28m²square meters,,,,10m²square meters,Yes,,,,14m²square meters,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,180m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10060543,10060543,house,villa,545000,forsale,6238,xl,,,asnew,gas,153,4,1034,,true,,,,,,,,Hainaut,As new,4,,,4,2,,,,153 kWh/m²kilowatt hour per square meters,B,20220525016475,Not specified,38731 kWh/year,"Make an offer starting from€ 545,000Make an offer starting from545000 €",,No,Grand Place 11 1400- Nivelles,http://www.era.be/cedimmo,,Hainaut,After signing the deed,,,,,,204m²square meters,,,,,,,,,No,1034m²square meters,,Connected,Yes,,No,No,Yes,No,No,Gas,Yes,Non flood zone,Link to the virtual visit,,41m²square meters,,,,,,"Living area (residential, urban or rural)",Yes,No,,,,,No,,,,,23m²square meters,,,No,,,,,,,,,No,No,,No,No,No,No,,,,,,,No,,153,,,,,,,,,Villa,,,,,,,,,,,,,
10132832,10132832,house,apartmentblock,770000,forsale,7000,xl,installed,,good,electric,771,10,128,,true,,true,true,,,1,,Hainaut,Good,2,,,10,6,Yes,,,771 kWh/m²kilowatt hour per square meters,G,20140430005034,220 kg CO₂/m²,13333 kWh/year,"€ 770,000770000 €","€ 1,4841484 €",Yes,101 rue de Valenciennes7301- Hornu,http://www.century21-decroly.be,4957376,Hainaut,To be defined,,,6 m,1,,,25m²square meters,Installed,,,,6,6,,Yes,128m²square meters,6 mmeters,Connected,No,25m²square meters,No,No,,Yes,,Electric,Yes,Non flood zone,,,14m²square meters,,,,Yes,,,,,12m²square meters,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141375,10141375,house,house,noprice,forsale,6001,xl,hyperequipped,,,gas,304,2,420,,,350,true,,,,2,,Hainaut,,3,,,2,1,,350m²square meters,,304 kWh/m²kilowatt hour per square meters,D,20220907006835,Not specified,41063 kWh/year,,€ 570570 €,No,Avenue Paul pastur 380 6032- Mont-sur-Marchienne,http://www.club-Immobilier.be,1-marc-115,Hainaut,After signing the deed,,,,2,,144m²square meters,30m²square meters,Hyper equipped,18m²square meters,15m²square meters,,,2,,No,420m²square meters,,,,30m²square meters,,,,,,Gas,Yes,,,,,,West,No,Yes,,,,,,,,,,,,,,,,,,,,,,North,,,,,,,No,No,No,,,,,,,,,,,Adeline GUAIETTA,,,,,,,,,,,,,,,,,,,,,
10073002,10073002,house,townhouse,205000,forsale,7370,xl,installed,,asnew,gas,,3,117,,,,true,,,1,,1,Hainaut,As new,2,1,Yes,3,1,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"Make an offer starting from€ 205,000Make an offer starting from205000 €",,No,Rue Grande 747330- Saint Ghislain,https://immobiliere-aip.be/,4892645,Hainaut,,,,,,,160m²square meters,,Installed,,,,1,2,,No,117m²square meters,,Connected,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141378,10141378,house,apartmentblock,498000,forsale,6020,xl,installed,,,fueloil,867,11,186,,true,,true,,,,,,Hainaut,,4,,,11,11,Yes,,,867 kWh/m²kilowatt hour per square meters,G,20220921025432,Not specified,52684 kWh/year,"€ 498,000498000 €","€ 1,2221222 €",Yes,Avenue Paul pastur 380 6032- Mont-sur-Marchienne,http://www.club-Immobilier.be,1-damp-122,Hainaut,,,,,,,170m²square meters,18m²square meters,Installed,19m²square meters,17m²square meters,17m²square meters,,7,,No,186m²square meters,,,,40m²square meters,,,,,,Fuel oil,No,,,,,,,No,,17m²square meters,,,,,,,,,16m²square meters,,,,,,,,,,,,West,,,,,,,No,No,No,,,,,,,,,,,Loic HANUT,,,,,,,,,,,,,,,,,,,,,
10051600,10051600,house,house,79000,forsale,7040,xl,,,torenovate,,520,2,0,,,,,,,1,,,Hainaut,To renovate,2,1,,2,1,,,,520 kWh/m²kilowatt hour per square meters,G,2259E1440481L,76 kg CO₂/m²,Not specified,"€ 79,00079000 €",,No,"Rue de l'Eglise, 1 7300- Boussu",http://www.logissim.be,10687 - 184639,Hainaut,After signing the deed,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
