,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,Intercom,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Price,Tenement building,Address,Website,External reference,Province,Armored door,Width of the lot on the street,TV cable,Double glazing,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Cadastral income,Bedroom 4 surface,Living room,Terrace,Planning permission obtained,Bedroom 5 surface,Secure access / alarm,Professional space surface,Conformity certification for fuel tanks,Subdivision permit,As built plan,How many fireplaces?,Garden orientation,Basement surface,Attic surface,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Visio phone,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Professional space,Isolated,Type of building,Terrace orientation,Air conditioning,Jacuzzi,Sauna,Internet,E-level (overall energy performance),Monthly charges,Property name,Agent's name,Current monthly revenue,Garden,Obligation to build,Number of annexes,Venue of the sale,Single session,Terms of visit,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Extra information,EPC description,Age of annuitant
10153823,10153823,house,apartmentblock,850000,forsale,1190,xl,semiequipped,,torenovate,gas,178,5,0,,true,20,true,,,,,,Brussels,After signing the deed,,Albert,,To renovate,,2,,,"Living area (residential, urban or rural)",,350m²square meters,,,Semi equipped,,5,,,,5,5,6,,,Yes,,No,,,Yes,20m²square meters,2m²square meters,,,,,178 kWh/m²kilowatt hour per square meters,D,Not specified,35 kg CO₂/m²,Not specified,Gas,"€ 850,000850000 €",Yes,Rue de Tenbosch 85/117 1050- Ixelles,,2266 - 2295,Brussels,,,,Yes,,,,Non flood zone,,"€ 1,4501450 €",,,,,,,,,,No,,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130889,10130889,house,apartmentblock,2150000,forsale,1000,xl,installed,1890,good,gas,382,10,460,true,true,,true,true,,5,3,,Brussels,Depending on the tenant,,Bruxelles,1890,Good,14.5 m,3,5,3,Urban,,516m²square meters,,,Installed,,10,26m²square meters,24m²square meters,21m²square meters,6,6,6,18m²square meters,Yes,Yes,Yes,,460m²square meters,Connected,Yes,,117m²square meters,No,,,,382 kWh/m²kilowatt hour per square meters,G,20130609-0000164551-01-9,82 kg CO₂/m²,Not specified,Gas,"€ 2,150,0002150000 €",Yes,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/28162,Brussels,,,Yes,,,,,,,"€ 6,4726472 €",11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9452032,9452032,house,apartmentblock,1295000,forsale,1000,xl,,1899,tobedoneup,gas,,6,249,true,,110,true,,,,,,Brussels,Depending on the tenant,February 1 2022 - 12:00 AM,Bruxelles-Sud,1899,To be done up,7.3 m,2,,,Isolated,,550m²square meters,,,,,6,22m²square meters,18m²square meters,20m²square meters,6,6,5,,,,Yes,No,249m²square meters,Connected,Yes,110m²square meters,50m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 1,295,0001295000 €",Yes,Avenue des aubépines 32 1180- Uccle,,4431484,Brussels,,7.3 mmeters,Yes,,550m²square meters,No,,Non flood zone,,,20m²square meters,Yes,,Yes,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151659,10151659,house,villa,1490000,forsale,1160,xl,usahyperequipped,1969,asnew,gas,207,4,486,,true,250,true,,,1,1,,Brussels,To be defined,,,1969,As new,,3,1,1,,Link to the virtual visit,270m²square meters,45m²square meters,Yes,USA hyper equipped,15m²square meters,4,25m²square meters,15m²square meters,14m²square meters,2,1,3,,,Yes,,No,486m²square meters,Connected,No,250m²square meters,30m²square meters,No,No,,No,207 kWh/m²kilowatt hour per square meters,D,Not specified,41 kg CO₂/m²,Not specified,Gas,"€ 1,490,0001490000 €",No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4958028,Brussels,,,,Yes,,,,Non flood zone,,"€ 4,7974797 €",12m²square meters,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143040,10143040,house,mansion,799000,forsale,1040,xl,installed,1930,good,gas,363,4,140,true,true,27,true,true,,,,,Brussels,After signing the deed,,,1930,Good,12 m,2,,,,,344m²square meters,55m²square meters,Yes,Installed,16m²square meters,4,18m²square meters,31m²square meters,12m²square meters,2,1,3,16m²square meters,Yes,Yes,Yes,No,140m²square meters,Connected,Yes,27m²square meters,17m²square meters,No,No,Yes,No,363 kWh/m²kilowatt hour per square meters,G,Not specified,72 kg CO₂/m²,Not specified,Gas,"€ 799,000799000 €",No,Place St Pierre 3 1040- Etterbeek,,4945921,Brussels,,12.4 mmeters,Yes,Yes,113m²square meters,,,,,"€ 1,3011301 €",16m²square meters,,,,,,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143585,10143585,house,mansion,799000,forsale,1050,xl,installed,1930,good,gas,363,4,140,true,true,27,true,true,,,,,Brussels,After signing the deed,,,1930,Good,12 m,2,,,,,344m²square meters,55m²square meters,Yes,Installed,16m²square meters,4,18m²square meters,31m²square meters,12m²square meters,2,1,3,16m²square meters,Yes,Yes,Yes,No,140m²square meters,Connected,Yes,27m²square meters,17m²square meters,No,No,Yes,No,363 kWh/m²kilowatt hour per square meters,G,Not specified,72 kg CO₂/m²,Not specified,Gas,"€ 799,000799000 €",No,Place St Pierre 3 1040- Etterbeek,,4963261,Brussels,,12.4 mmeters,Yes,Yes,113m²square meters,,,,,"€ 1,3011301 €",16m²square meters,,,,,,35m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116899,10116899,house,house,380000,forsale,1082,xl,,1944,good,gas,432,4,152,,true,,,,,,,,Brussels,After signing the deed,,,1944,Good,5 m,2,,,,Link to the virtual visit,175m²square meters,,Yes,,,4,,,,2,,,,,Yes,,No,152m²square meters,Connected,Yes,,,No,No,,No,432 kWh/m²kilowatt hour per square meters,G,20161109-000362199-01-5,Not specified,Not specified,Gas,"€ 380,000380000 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Brussels,No,5 mmeters,Yes,Yes,,No,No,Non flood zone,Another type of area,"€ 1,1081108 €",,,,Yes,,No,,,No,,,,,,,,,,,,,,No,No,No,No,,,,,,No,No,,432,,,,,,,,,,,,,,,,,,,,,,,
9664345,9664345,house,apartmentblock,450000,forsale,1070,xl,hyperequipped,1930,good,gas,275,5,100,,,45,true,,,,,,Brussels,After signing the deed,December 13 2021 - 12:00 AM,,1930,Good,,2,,,Urban,,200m²square meters,,,Hyper equipped,,5,14m²square meters,14m²square meters,12m²square meters,2,1,2,,,,,No,100m²square meters,Connected,Yes,45m²square meters,12m²square meters,No,No,Yes,No,275 kWh/m²kilowatt hour per square meters,E,Not specified,49 kg CO₂/m²,Not specified,Gas,"€ 450,000450000 €",Yes,Bld. Brand Whitlock 108 1200- Woluwe-Saint-Lambert,,4604001,Brussels,,,Yes,Yes,200m²square meters,,,,,,11m²square meters,Yes,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148821,10148821,house,apartmentblock,945000,forsale,1150,xl,installed,1984,good,electric,374,5,414,,true,223,true,,,2,3,,Brussels,Depending on the tenant,,,1984,Good,,3,2,3,,Link to the virtual visit,214m²square meters,,Yes,Installed,,5,14m²square meters,14m²square meters,10m²square meters,3,3,4,,,Yes,,No,414m²square meters,,,223m²square meters,45m²square meters,No,No,,No,374 kWh/m²kilowatt hour per square meters,G,20200526,59 kg CO₂/m²,Not specified,Electric,"€ 945,000945000 €",Yes,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4965385,Brussels,Yes,,,Yes,,,,Non flood zone,,"€ 4,0054005 €",9m²square meters,Yes,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091321,10091321,house,house,495000,forsale,1160,xl,semiequipped,1968,torenovate,fueloil,395,2,290,,true,180,true,true,,2,2,,Brussels,After signing the deed,,,1968,To renovate,,2,2,2,,,153m²square meters,30m²square meters,,Semi equipped,,2,,,,1,,2,,Yes,Yes,,No,290m²square meters,,,180m²square meters,20m²square meters,,,,,395 kWh/m²kilowatt hour per square meters,G,0000619377,Not specified,Not specified,Fuel oil,"€ 495,000495000 €",No,GEMEENTEPLEIN 71560- Hoeilaart,http://www.berthoutshoeilaart.be,1817175 - 1239287,Brussels,,,,Yes,,,,Non flood zone,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120298,10120298,house,house,467500,forsale,1170,xl,installed,1925,torenovate,gas,424,3,225,,true,,true,,,,,,Brussels,After signing the deed,,Logis Floréal,1925,To renovate,,2,,,"Living area (residential, urban or rural)",,137m²square meters,30m²square meters,,Installed,10m²square meters,3,27m²square meters,16m²square meters,15m²square meters,1,,2,,,Yes,,No,225m²square meters,,Yes,,,,,,,424 kWh/m²kilowatt hour per square meters,G,0000617352 - 01 - 5,85 kg CO₂/m²,Not specified,Gas,"€ 467,500467500 €",No,Chaussée de la Hulpe 166 1170- Watermael-Boitsfort,http://www.thekeys.be,1309 - 2034,Brussels,,,,Yes,,,,,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10115690,10115690,house,mixedusebuilding,595000,forsale,1070,xl,hyperequipped,,good,gas,340,2,985,,,,,,,,20,,Brussels,After signing the deed,,,,Good,,4,,20,,,167m²square meters,39m²square meters,,Hyper equipped,16m²square meters,2,21m²square meters,11m²square meters,,1,1,2,,,,,No,985m²square meters,,Yes,,,,,,,340 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,Gas,"€ 595,000595000 €",Yes,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10844 - 38,Brussels,Yes,,,Yes,,,,Non flood zone,,,,,,,,Yes,,,,No,,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
10041102,10041102,house,house,499000,forsale,1082,xl,hyperequipped,1951,asnew,gas,289,3,221,,true,60,true,true,,1,1,,Brussels,After signing the deed,,,1951,As new,,2,1,1,"Living area (residential, urban or rural)",Link to the virtual visit,,,Yes,Hyper equipped,11m²square meters,3,10m²square meters,14m²square meters,14m²square meters,1,1,2,,Yes,Yes,,No,221m²square meters,Connected,Yes,60m²square meters,30m²square meters,No,No,Yes,No,289 kWh/m²kilowatt hour per square meters,F,Not specified,57 kg CO₂/m²,Not specified,Gas,"€ 499,000499000 €",No,Rue Eugène Toussaint 65 1090- Jette,http://www.jetimmo.be,4856437,Brussels,,,,Yes,,No,,,"Living area (residential, urban or rural)",,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074635,10074635,house,house,795000,forsale,1180,xl,installed,1920,,gas,167,5,230,,true,,true,,,,,,Brussels,After signing the deed,,Saint Job,1920,,,2,,,"Living area (residential, urban or rural)",,270m²square meters,,Yes,Installed,8m²square meters,5,17m²square meters,14m²square meters,14m²square meters,1,1,,,,,,No,230m²square meters,,Yes,,,,,,,167 kWh/m²kilowatt hour per square meters,D,Not specified,33 kg CO₂/m²,Not specified,Gas,"€ 795,000795000 €",No,Avenue du Roi Chevalier67 1200- Woluwé-St-Lambert,,103154 - 654657747,Brussels,,5.5 mmeters,,Yes,,,,,,"€ 1,9381938 €",11m²square meters,,Yes,,11m²square meters,,,,,No,1,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9632584,9632584,house,house,650000,forsale,1200,xl,usainstalled,1927,good,gas,443,4,148,,true,70,true,,,,,,Brussels,After signing the deed,December 31 2021 - 12:00 AM,Est de Bruxelles + VL,1927,Good,,2,,,Countryside,Link to the virtual visit,150m²square meters,45m²square meters,,USA installed,9m²square meters,4,17m²square meters,14m²square meters,15m²square meters,1,,2,,,Yes,,No,148m²square meters,,No,70m²square meters,10m²square meters,,,,,443 kWh/m²kilowatt hour per square meters,G,202110007-0000597071-01-6,88 kg CO₂/m²,Not specified,Gas,"€ 650,000650000 €",No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4571137,Brussels,,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008794,10008794,house,apartmentblock,900000,forsale,1000,xl,installed,1965,good,gas,170,0,0,,,,,,,,,,Brussels,,,,1965,Good,,2,,,Urban,,400m²square meters,,,Installed,,,,,,,,,,,,,No,,,,,,Yes,No,,No,170 kWh/m²kilowatt hour per square meters,D,20200703-0000571008-01-5,Not specified,Not specified,Gas,"€ 900,000900000 €",Yes,Tour &amp; Taxis - Havenlaan 86c 106c 1000- Brussels,http://www.dewaele.com/,D1000-22102,Brussels,,,,,,,,,,"€ 5,0985098 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121075,10121075,house,house,937000,forsale,1180,xl,hyperequipped,2019,asnew,gas,,3,150,,,60,true,,,,1,,Brussels,After signing the deed,,,2019,As new,,2,,1,,,250m²square meters,,Yes,Hyper equipped,25m²square meters,3,10m²square meters,10m²square meters,36m²square meters,2,3,3,,No,,,Yes,150m²square meters,Connected,No,60m²square meters,15m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"€ 937,000937000 €",No,,,,Brussels,Yes,,Yes,Yes,,,,,Mixed living area (accommodation &amp; economic activities),"€ 1,8001800 €",,Yes,,Yes,,Yes,,,Yes,,1,South,,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,,,South,No,No,No,Yes,,€ 290290 €,,,,,,,,,,,,,,,,,,,,,,
10042751,10042751,house,villa,1695000,forsale,1180,xl,installed,,good,gas,496,4,800,true,true,350,,true,,,,,Brussels,Immediately,February 26 2020 - 12:00 AM,Bruxelles (19 communes),,Good,,3,,,Urban,,405m²square meters,,Yes,Installed,34m²square meters,4,27m²square meters,21m²square meters,20m²square meters,2,,4,,Yes,Yes,Yes,No,800m²square meters,,Yes,350m²square meters,,,,,,496 kWh/m²kilowatt hour per square meters,G,Not specified,97 kg CO₂/m²,Not specified,Gas,"€ 1,695,0001695000 €",No,Avenue Louis Lepoutre 109 1050- Ixelles,https://www.engelvoelkers.com/fr-be/brugmann/,4856898,Brussels,,,,,,,,,,,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061235,10061235,house,villa,1860000,forsale,1180,xl,installed,1897,asnew,fueloil,407,4,1850,true,true,,true,true,,1,2,,Brussels,After signing the deed,,Uccle,1897,As new,,4,1,2,"Living area (residential, urban or rural)",,450m²square meters,80m²square meters,,Installed,,4,,,,3,,,,Yes,Yes,Yes,,1850m²square meters,Connected,Yes,,,No,,,,407 kWh/m²kilowatt hour per square meters,G,20201123-00005763301,107 kg CO₂/m²,Not specified,Fuel oil,"€ 1,860,0001860000 €",No,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/28156,Brussels,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125090,10125090,house,house,1145000,forsale,1170,xl,usahyperequipped,2024,asnew,,55,4,220,,,,true,,,1,2,1,Brussels,At delivery,September 1 2024 - 12:00 AM,Projets Bruxelles Est,2024,As new,,2,1,2,Isolated,Link to the virtual visit,230m²square meters,44m²square meters,,USA hyper equipped,,4,16m²square meters,14m²square meters,13m²square meters,2,1,3,,,,,No,220m²square meters,Connected,No,,,No,No,Yes,No,55 kWh/m²kilowatt hour per square meters,B,B,Not specified,Not specified,,"€ 1,145,0001145000 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4904993,Brussels,,5.75 mmeters,,Yes,,,,Non flood zone,,,13m²square meters,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140582,10140582,house,villa,1585000,forsale,1180,xl,installed,1963,good,gas,199,5,833,,true,689,true,true,true,3,2,,Brussels,After signing the deed,October 1 2022 - 12:00 AM,,1963,Good,14 m,4,3,2,,,313m²square meters,25m²square meters,Yes,Installed,22m²square meters,5,21m²square meters,13m²square meters,13m²square meters,1,3,3,15m²square meters,Yes,Yes,,No,833m²square meters,Connected,Yes,689m²square meters,15m²square meters,No,No,,Yes,199 kWh/m²kilowatt hour per square meters,D,Not specified,39 kg CO₂/m²,Not specified,Gas,"€ 1,585,0001585000 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,3971666,Brussels,,14 mmeters,Yes,Yes,,,No,,,"€ 6,2816281 €",10m²square meters,,,Yes,10m²square meters,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159164,10159164,house,exceptionalproperty,985000,forsale,1050,xl,notinstalled,1900,torenovate,gas,681,5,196,true,true,100,,true,,,,,Brussels,Immediately,September 13 2022 - 12:00 AM,,1900,To renovate,,2,,,,Link to the virtual visit,320m²square meters,,,Not installed,,5,20m²square meters,19m²square meters,19m²square meters,3,3,4,7m²square meters,Yes,Yes,Yes,No,196m²square meters,Connected,Yes,100m²square meters,,No,No,,No,681 kWh/m²kilowatt hour per square meters,G,20220902­0000619991­01­0,136 kg CO₂/m²,Not specified,Gas,"€ 985,000985000 €",Yes,"Chaussée de Waterloo, 690 1180- Bruxelles",http://www.immodussart.be,4970688,Brussels,,6 mmeters,Yes,,90m²square meters,,,Non flood zone,,,19m²square meters,,,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159165,10159165,house,apartmentblock,985000,forsale,1050,xl,notinstalled,1900,torenovate,gas,681,5,196,true,true,100,,true,,,,,Brussels,Immediately,September 13 2022 - 12:00 AM,,1900,To renovate,,2,,,,Link to the virtual visit,320m²square meters,,,Not installed,,5,20m²square meters,19m²square meters,19m²square meters,3,3,4,7m²square meters,Yes,Yes,Yes,No,196m²square meters,Connected,Yes,100m²square meters,,No,No,,No,681 kWh/m²kilowatt hour per square meters,G,20220902­0000619991­01­0,136 kg CO₂/m²,Not specified,Gas,"€ 985,000985000 €",Yes,"Chaussée de Waterloo, 690 1180- Bruxelles",http://www.immodussart.be,4970691,Brussels,,6 mmeters,Yes,,90m²square meters,,,Non flood zone,,,19m²square meters,,,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114638,10114638,house,house,299000,forsale,1080,xl,notinstalled,1920,torenovate,gas,,4,105,true,true,32,true,true,,,,,Brussels,After signing the deed,August 4 2022 - 12:00 AM,,1920,To renovate,5 m,2,,,,,202m²square meters,22m²square meters,Yes,Not installed,12m²square meters,4,20m²square meters,20m²square meters,14m²square meters,3,3,3,20m²square meters,Yes,Yes,Yes,No,105m²square meters,Connected,Yes,32m²square meters,10m²square meters,No,No,,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,"Make an offer starting from€ 299,000Make an offer starting from299000 €",No,Chaussée d’alsemberg 127 (Coin rue Antoine Bréart) 1060- Saint Gilles,http://[email protected],4932309,Brussels,,5 mmeters,Yes,,75m²square meters,No,,,,,14m²square meters,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163977,10163977,house,house,569000,forsale,1080,xl,installed,1925,asnew,gas,315,4,0,,true,35,true,,,,,,Brussels,,,,1925,As new,6 m,,,,,,273m²square meters,,Yes,Installed,27m²square meters,4,18m²square meters,12m²square meters,12m²square meters,,,5,,No,,,,,Not connected,Yes,35m²square meters,25m²square meters,,,,,315 kWh/m²kilowatt hour per square meters,F,20220223-0000606375-01-2,Not specified,Not specified,Gas,"€ 569,000569000 €",Yes,Tramlaan 249 1933- Sterrebeek,http://www.kasperkent.be,819 - avenue Jean Du,Brussels,,,,Yes,,,No,,Residential area with cultural historical aesthetic value,,12m²square meters,,,Yes,,,,,,,,North West,10m²square meters,,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
10161575,10161575,house,house,695000,forsale,1082,xl,hyperequipped,1991,asnew,gas,165,6,384,true,true,170,true,true,,2,,,Brussels,After signing the deed,,,1991,As new,12 m,2,2,,"Living area (residential, urban or rural)",,422m²square meters,46m²square meters,,Hyper equipped,18m²square meters,6,15m²square meters,14m²square meters,13m²square meters,1,1,2,23m²square meters,Yes,,,,384m²square meters,Connected,Yes,170m²square meters,18m²square meters,,,,,165 kWh/m²kilowatt hour per square meters,D,20220803-0000618168-01-6,32 kg CO₂/m²,Not specified,Gas,"€ 695,000695000 €",,"Avenue de la Basilique,108 b21 1082- Berchem-Ste-Agathe",,,Brussels,,,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 3,1383138 €",13m²square meters,,,Yes,13m²square meters,Yes,,,,,1,South West,60m²square meters,50m²square meters,,Yes,,,,,,Yes,,,Yes,,,,,South West,,,,,,,,Molineaux Albert,,,,,,,,,,,,,,,,,,,,
10138322,10138322,house,house,550000,forsale,1020,xl,semiequipped,1937,tobedoneup,fueloil,,5,230,true,true,128,true,true,,1,1,,Brussels,To be defined,,,1937,To be done up,6.91 m,2,1,1,,,230m²square meters,35m²square meters,Yes,Semi equipped,9m²square meters,5,23m²square meters,11m²square meters,20m²square meters,3,3,3,10m²square meters,Yes,Yes,Yes,No,230m²square meters,Connected,Yes,128m²square meters,20m²square meters,No,No,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,Fuel oil,"€ 550,000550000 €",Yes,"Rue du Lac 27,1050- Ixelles",http://www.immoexpat.be,4959749,Brussels,,,,Yes,102m²square meters,,,,,,15m²square meters,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138896,10138896,house,house,615000,forsale,1030,xl,hyperequipped,1910,justrenovated,gas,253,4,85,,true,,true,,,,,,Brussels,After signing the deed,,,1910,Just renovated,6 m,2,,,,,240m²square meters,,,Hyper equipped,,4,,,,1,1,3,,,Yes,,No,85m²square meters,,,,25m²square meters,,,,,253 kWh/m²kilowatt hour per square meters,E,Not specified,50 kg CO₂/m²,Not specified,Gas,"€ 615,000615000 €",No,Place des chasseurs Ardennais 24-26 1030- Schaerbeek,http://www.eventimmo.be,8848 - 654658439,Brussels,,6 mmeters,,Yes,,,,,,€ 964964 €,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067767,10067767,house,mansion,1575000,forsale,1000,xl,hyperequipped,1908,,gas,301,5,262,,true,101,true,true,,,,,Brussels,After signing the deed,,,1908,,,2,,,,Link to the virtual visit,453m²square meters,107m²square meters,Yes,Hyper equipped,23m²square meters,5,,,,3,,,23m²square meters,Yes,Yes,,No,262m²square meters,,Yes,101m²square meters,20m²square meters,,,,,301 kWh/m²kilowatt hour per square meters,F,20211122-0000600012-01-2,60 kg CO₂/m²,Not specified,Gas,"€ 1,575,0001575000 €",No,rue du Monastère 12 1000- Bruxelles ville,,10822 - 811/6881,Brussels,,,,Yes,,,,Non flood zone,,"€ 3,0493049 €",,,,,,,,,,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150352,10150352,house,apartmentblock,925000,forsale,1000,xl,,1930,,gas,550,4,85,,true,,,true,,,,,Brussels,,,,1930,,,2,,,,,190m²square meters,25m²square meters,,,12m²square meters,4,,,,2,,,7m²square meters,Yes,Yes,,No,85m²square meters,Not connected,No,,,No,No,,No,550 kWh/m²kilowatt hour per square meters,G,20220830-TEST,72 kg CO₂/m²,Not specified,Gas,"€ 925,000925000 €",Yes,Rue Archimède 171000- Bruxelles ville,http://era.be/chatelain,,Brussels,No,,Yes,Yes,,No,No,Non flood zone,Another type of area,,,,,,,No,,,No,,,,,,,,,,,,,,No,No,No,No,Yes,,Apartment building,,,No,No,,550,,,,,,,,,,,,,,,,,,,,,,,
10126880,10126880,house,house,850000,forsale,1150,xl,hyperequipped,1954,good,gas,512,3,350,true,true,250,true,,,1,2,,Brussels,After signing the deed,,,1954,Good,,3,1,2,"Living area (residential, urban or rural)",,,40m²square meters,Yes,Hyper equipped,10m²square meters,3,18m²square meters,18m²square meters,10m²square meters,1,,2,,No,Yes,,No,350m²square meters,Connected,Yes,250m²square meters,20m²square meters,No,No,No,No,512 kWh/m²kilowatt hour per square meters,G,20170706-0000508161-01-9,Not specified,Not specified,Gas,"€ 850,000850000 €",No,,,,Brussels,No,,Yes,No,,No,No,Non flood zone,Residential recreation area,"€ 2,0252025 €",,,,,,Yes,,,,,1,North West,,55m²square meters,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,,West,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
10160564,10160564,house,villa,845000,forsale,1180,xl,usahyperequipped,1960,asnew,gas,345,4,872,,true,800,true,true,true,2,2,,Brussels,After signing the deed,January 2 2023 - 12:00 AM,,1960,As new,11 m,4,2,2,,,193m²square meters,50m²square meters,,USA hyper equipped,13m²square meters,4,13m²square meters,22m²square meters,16m²square meters,2,1,2,12m²square meters,Yes,Yes,,Yes,872m²square meters,Connected,Yes,800m²square meters,70m²square meters,No,Yes,,Yes,345 kWh/m²kilowatt hour per square meters,F,F,69 kg CO₂/m²,Not specified,Gas,"€ 845,000845000 €",No,AVENUE BRUGMANN 16 1060- Bruxelles,,4968788,Brussels,,,Yes,Yes,255m²square meters,No,,,,"€ 3,1083108 €",12m²square meters,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
