,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10157583,10157583,house,villa,695000,forsale,9140,xl,installed,1965,asnew,gas,428,3,1335,,true,,true,true,,1,3,,East Falnders,To be defined,,1965,As new,4,3,,245m²square meters,,Installed,,3,,,1,1,2,,Yes,No,1335m²square meters,,Yes,,,,,,428 kWh/m²kilowatt hour per square meters,E,20220602-0002615485-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 695,000695000 €","€ 1,3561356 €",No,Prinses Josephine Charlottelaan 72 9100- Sint-Niklaas,http://www.heylenvastgoed.be,69321 - WAA-22-TTA-0,East Falnders,,1,,,Yes,,23.76 mmeters,,Yes,,,,,Yes,,,,,,,,,,Yes,East,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145344,10145344,house,house,109000,forsale,9600,xl,semiequipped,1915,torenovate,gas,,2,100,true,,35,,,,,,,East Falnders,After signing the deed,December 22 2022 - 12:00 AM,1915,To renovate,2,,Urban,127m²square meters,,Semi equipped,,2,12m²square meters,10m²square meters,1,,1,,,No,100m²square meters,,,35m²square meters,,,,,Not specified,Not specified,Not specified,7522 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 109,000109000 €",€ 267267 €,No,Stationstraat 30 9600- Ronse,,4933940,East Falnders,4 m,,,,,Yes,4 mmeters,,,65m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10158376,10158376,house,house,725000,forsale,9700,xl,semiequipped,1970,torenovate,fueloil,1031,4,2246,,true,,,,,1,4,,East Falnders,After signing the deed,,1970,To renovate,4,4,,312m²square meters,75m²square meters,Semi equipped,,4,,,2,,3,,,No,2246m²square meters,,,,,,,,1031 kWh/m²kilowatt hour per square meters,F,20220316-0002564721-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 725,000725000 €","€ 1,6781678 €",No,‘Tussenbruggen 9 9700- Oudenaarde,http://www.axellenaerts.be,17993 - 8177,East Falnders,,1,,,Yes,,49.5 mmeters,,,,,,,,,,Yes,,,,,,,Yes,South,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164683,10164683,house,house,99500,forsale,9500,xl,semiequipped,,tobedoneup,gas,356,2,40,,,,,,,,,,East Falnders,,,,To be done up,2,,,60m²square meters,,Semi equipped,8m²square meters,2,13m²square meters,6m²square meters,1,,1,,,No,40m²square meters,,,,,,,,356 kWh/m²kilowatt hour per square meters,D,20220318-0002566922-RES-1,Not specified,Not specified,No,Gas,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 99,50099500 €",€ 121121 €,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20814 - VK 3915,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161529,10161529,house,house,289000,forsale,9000,xl,semiequipped,1931,torenovate,,829,3,150,,,,,,,1,,,East Falnders,After signing the deed,,1931,To renovate,2,,,112m²square meters,,Semi equipped,,3,,,1,,1,,,No,150m²square meters,,Yes,,,,,,829 kWh/m²kilowatt hour per square meters,F,20220706-0002636428-RES-1,Not specified,Not specified,No,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 289,000289000 €",€ 438438 €,No,Alphonse Claeys-Bouüaertlaan 57/001 9030- Mariakerke,http://www.convas.be,1683 - 1751,East Falnders,5 m,1,,,,,,,Yes,,,,,,,,,,,,,,,Yes,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158374,10158374,house,house,725000,forsale,9790,xl,semiequipped,1970,torenovate,fueloil,1031,4,2246,,true,,,,,1,4,,East Falnders,After signing the deed,,1970,To renovate,4,4,,312m²square meters,75m²square meters,Semi equipped,,4,,,2,,3,,,No,2246m²square meters,,,,,,,,1031 kWh/m²kilowatt hour per square meters,F,20220316-0002564721-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 725,000725000 €","€ 1,6781678 €",No,‘Tussenbruggen 9 9700- Oudenaarde,http://www.axellenaerts.be,17994 - 8114,East Falnders,,1,,,Yes,,49.5 mmeters,,,,,,,,,,Yes,,,,,,,Yes,South,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164688,10164688,house,house,185000,forsale,9600,xl,installed,,good,gas,515,2,93,,,,,,,,,,East Falnders,After signing the deed,,,Good,2,,,112m²square meters,,Installed,15m²square meters,2,16m²square meters,14m²square meters,1,,1,,,No,93m²square meters,,,,,,,,515 kWh/m²kilowatt hour per square meters,F,2011030-0000957021-000000011-8,Not specified,Not specified,No,Gas,,,,,,,"€ 185,000185000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20825 - VK,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164691,10164691,house,mixedusebuilding,99500,forsale,9500,xl,semiequipped,,tobedoneup,gas,356,2,40,,,,,,,,,,East Falnders,,,,To be done up,2,,,60m²square meters,,Semi equipped,8m²square meters,2,13m²square meters,6m²square meters,1,,1,,,No,40m²square meters,,,,,,,,356 kWh/m²kilowatt hour per square meters,D,20220318-0002566922-RES-1,Not specified,Not specified,No,Gas,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 99,50099500 €",€ 121121 €,Yes,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20815 - VK 3915,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164690,10164690,house,house,235000,forsale,9600,xl,installed,,justrenovated,gas,144,3,305,,true,,true,,,,,,East Falnders,,,,Just renovated,2,,,130m²square meters,,Installed,12m²square meters,3,28m²square meters,19m²square meters,1,,1,,,No,305m²square meters,,,,,,,,144 kWh/m²kilowatt hour per square meters,B,20190519-0002151828-res-1,Not specified,Not specified,No,Gas,,,,,,,"€ 235,000235000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20824 - VK,East Falnders,,,12m²square meters,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009832,10009832,house,house,319000,forsale,9120,xl,installed,1979,good,,175,3,204,true,true,56,true,,,,,,East Falnders,After signing the deed,,1979,Good,2,,Isolated,111m²square meters,26m²square meters,Installed,10m²square meters,3,13m²square meters,11m²square meters,1,,2,,,No,204m²square meters,Connected,Yes,56m²square meters,,,,,175 kWh/m²kilowatt hour per square meters,B,20220331-0002575199-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 319,000319000 €",€ 716716 €,No,"Oude zandstraat , 30 9120- Beveren",http://www.c21locus.be,4841334,East Falnders,7.3 m,,10m²square meters,,,,,,,,,,,Yes,9120 Beveren met deelgemeenten,,,,2m²square meters,,,,,,,,,,,,,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139439,10139439,house,house,349000,forsale,9200,xl,installed,1965,tobedoneup,fueloil,491,4,617,,,,,,,1,1,,East Falnders,,,1965,To be done up,4,1,,197m²square meters,52m²square meters,Installed,18m²square meters,4,18m²square meters,15m²square meters,1,,2,,,No,617m²square meters,,Yes,,,,,,491 kWh/m²kilowatt hour per square meters,E,20220927-0002683609-RES-2,Not specified,Not specified,No,Fuel oil,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 954954 €,No,Zuidlaan 2 9200- Dendermonde,http://www.immotwins.be,15823 - 114121397,East Falnders,8 m,1,12m²square meters,11m²square meters,,,,,Yes,,,,,,,,,,,,,,,Yes,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997232,9997232,house,house,395000,forsale,9600,xl,hyperequipped,1890,justrenovated,,87,3,80,,true,,true,,,,,,East Falnders,After signing the deed,September 15 2022 - 12:00 AM,1890,Just renovated,2,,Urban,184m²square meters,24m²square meters,Hyper equipped,6m²square meters,3,13m²square meters,11m²square meters,1,,2,,,No,80m²square meters,Connected,Yes,,No,No,Yes,No,87 kWh/m²kilowatt hour per square meters,A,EP03114,3251 kg CO₂/m²,Not specified,No,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 710710 €,No,Stationstraat 30 9600- Ronse,,4797879,East Falnders,5 m,,44m²square meters,,Yes,,5 mmeters,8m²square meters,Yes,72m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140836,10140836,house,house,189000,forsale,9600,xl,hyperequipped,1938,good,gas,,2,170,true,,60,true,,,,1,,East Falnders,After signing the deed,December 20 2022 - 12:00 AM,1938,Good,2,1,"Living area (residential, urban or rural)",144m²square meters,15m²square meters,Hyper equipped,12m²square meters,2,12m²square meters,10m²square meters,1,,1,,,No,170m²square meters,Connected,Yes,60m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,7119 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 189,000189000 €",€ 332332 €,No,Stationstraat 30 9600- Ronse,,4933934,East Falnders,4.5 m,,,,,Yes,4.5 mmeters,10m²square meters,Yes,57m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158898,10158898,house,house,425000,forsale,9700,xl,semiequipped,1966,torenovate,fueloil,563,4,1412,,true,,,,,1,3,,East Falnders,After signing the deed,,1966,To renovate,,3,,207m²square meters,,Semi equipped,,4,,,1,,2,,,No,1412m²square meters,,,,,,,,563 kWh/m²kilowatt hour per square meters,F,20220622-0002628221-RES-1,Not specified,Not specified,No,Fuel oil,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 897897 €,No,Gentiel Antheunisplein 6 9700- Oudenaarde,http://www.immodhondt.be,2131 - 3489,East Falnders,,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166212,10166212,house,countrycottage,399000,forsale,9750,xl,installed,1950,torenovate,fueloil,500,3,1141,true,,,,,,1,,,East Falnders,,,1950,To renovate,,,,171m²square meters,14m²square meters,Installed,10m²square meters,3,10m²square meters,12m²square meters,1,,,,No,No,1141m²square meters,Connected,No,,,,,,500 kWh/m²kilowatt hour per square meters,E,20220216-0002547454-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 498498 €,No,Brusselsesteenweg 690 9050- Gentbrugge,http://www.landbergh.be/,VK22061VARIAC,East Falnders,,1,14m²square meters,,,,,,No,,,,,,,Yes,,No,,No,No,No,No,Yes,South,,,,All kind,No,,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151897,10151897,house,mixedusebuilding,275000,forsale,9700,xl,notinstalled,1935,torenovate,gas,467,4,833,,,550,,,,2,3,,East Falnders,After signing the deed,January 1 2023 - 12:00 AM,1935,To renovate,3,3,"Living area (residential, urban or rural)",350m²square meters,30m²square meters,Not installed,,4,20m²square meters,16m²square meters,1,1,3,,,No,833m²square meters,Connected,Yes,550m²square meters,No,No,Yes,No,467 kWh/m²kilowatt hour per square meters,E,Not specified,9999 kg CO₂/m²,Not specified,,Gas,,,,,Non flood zone,,"€ 275,000275000 €",,Yes,Stationstraat 30 9600- Ronse,,4900797,East Falnders,10 m,2,14m²square meters,20m²square meters,,,15 mmeters,,Yes,200m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154060,10154060,house,house,395000,forsale,9170,xl,installed,1966,good,gas,697,3,510,,,,true,,,2,2,,East Falnders,After signing the deed,,1966,Good,4,2,,171m²square meters,42m²square meters,Installed,,3,,,1,,2,,,No,510m²square meters,,Yes,,,,,,697 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,,,,,,,"€ 395,000395000 €",€ 964964 €,No,Kerkstraat 2 9170- St-Gillis-Waas,http://www.finehomes.be,1185 - 2049,East Falnders,,2,,,,,15 mmeters,,Yes,,,,,Yes,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166213,10166213,house,countrycottage,399000,forsale,9750,xl,installed,1950,torenovate,fueloil,500,3,1141,true,,,,,,1,,,East Falnders,,,1950,To renovate,,,,171m²square meters,14m²square meters,Installed,10m²square meters,3,10m²square meters,12m²square meters,1,,,,No,No,1141m²square meters,Connected,No,,,,,,500 kWh/m²kilowatt hour per square meters,E,20220216-0002547454-RES-1,Not specified,Not specified,,Fuel oil,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",€ 498498 €,No,Brusselsesteenweg 690 9050- Gentbrugge,http://www.landbergh.be/,VK22061IW3,East Falnders,,1,14m²square meters,,,,,,No,,,,,,,Yes,,No,,No,No,No,No,Yes,South,,,,All kind,No,,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087033,10087033,house,mixedusebuilding,450000,forsale,9660,xl,,2010,tobedoneup,pellet,163,8,3031,,true,,true,,,1,,,East Falnders,,,2010,To be done up,4,,,440m²square meters,82m²square meters,,,8,20m²square meters,18m²square meters,6,,4,,,No,3031m²square meters,,,,,,,,163 kWh/m²kilowatt hour per square meters,B,20210217-0002374030-RES-1,Not specified,Not specified,No,Pellet,,No,No,,,"Living area (residential, urban or rural)","€ 450,000450000 €","€ 2,1422142 €",Yes,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20172 - VK,East Falnders,,1,16m²square meters,15m²square meters,,,,,Yes,,,14m²square meters,,Yes,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162731,10162731,house,house,272000,forsale,9700,xl,semiequipped,1966,justrenovated,,291,3,146,,,,,,,,,,East Falnders,After signing the deed,,1966,Just renovated,2,,,97m²square meters,,Semi equipped,,3,,,1,,1,,,No,146m²square meters,,,,,,,,291 kWh/m²kilowatt hour per square meters,C,20220615-0002620738-RES-1,Not specified,Not specified,No,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 272,000272000 €",€ 309309 €,No,Gentiel Antheunisplein 6 9700- Oudenaarde,http://www.immodhondt.be,2132 - 3487,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087034,10087034,house,otherproperty,450000,forsale,9660,xl,,2010,tobedoneup,pellet,163,8,3031,,true,,true,,,1,,,East Falnders,,,2010,To be done up,4,,,440m²square meters,82m²square meters,,,8,20m²square meters,18m²square meters,6,,4,,,No,3031m²square meters,,,,,,,,163 kWh/m²kilowatt hour per square meters,B,20210217-0002374030-RES-1,Not specified,Not specified,No,Pellet,,No,No,,,"Living area (residential, urban or rural)","€ 450,000450000 €","€ 2,1422142 €",No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20173 - VK,East Falnders,,1,16m²square meters,15m²square meters,,,,,Yes,,,14m²square meters,,Yes,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092041,10092041,house,house,179000,forsale,9500,xl,semiequipped,1875,torenovate,gas,695,2,50,,true,,,,,,,,East Falnders,After signing the deed,,1875,To renovate,2,,,118m²square meters,,Semi equipped,8m²square meters,2,16m²square meters,14m²square meters,,,,,,No,50m²square meters,,,,,,,,695 kWh/m²kilowatt hour per square meters,F,614903-00000005-0,Not specified,Not specified,No,Gas,,,,,,,"€ 179,000179000 €",€ 334334 €,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20196 - 3379,East Falnders,,,,,,,,,Yes,,,,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095667,10095667,house,house,220000,forsale,9690,xl,,1950,tobedoneup,fueloil,337,3,157,,true,,,,,,,,East Falnders,After signing the deed,,1950,To be done up,3,,,190m²square meters,,,10m²square meters,3,16m²square meters,10m²square meters,1,,2,,,No,157m²square meters,,,,,,,,337 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 220,000220000 €",€ 907907 €,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20215 - VK 4062,East Falnders,,,6m²square meters,,,,,,Yes,,,,,,,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161675,10161675,housegroup,housegroup,478000-508000,forsale,9000,xl,,,,,,,,,,,,,,1,,1,East Falnders,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,Non flood zone,,,,No,Antoon Catriestraat8a 9031- Drongen,http://www.zabra.be,4970956,East Falnders,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161568,10161568,housegroup,housegroup,516080-619750,forsale,9700,xl,,,,,,,,,,,,,,,,1,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,17038 - VK 3978,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087032,10087032,house,house,450000,forsale,9660,xl,,2010,tobedoneup,pellet,163,8,3031,,true,,true,,,1,,,East Falnders,,,2010,To be done up,4,,,440m²square meters,82m²square meters,,,8,20m²square meters,18m²square meters,6,,4,,,No,3031m²square meters,,,,,,,,163 kWh/m²kilowatt hour per square meters,B,20210217-0002374030-RES-1,Not specified,Not specified,No,Pellet,,No,No,,,"Living area (residential, urban or rural)","€ 450,000450000 €","€ 2,1422142 €",No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20171 - VK,East Falnders,,1,16m²square meters,15m²square meters,,,,,Yes,,,14m²square meters,,Yes,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084873,10084873,house,house,345000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,195,,,15,true,true,,,,1,East Falnders,At delivery,,2021,As new,2,,Urban,171m²square meters,22m²square meters,Hyper equipped,15m²square meters,3,15m²square meters,17m²square meters,2,,3,,Yes,No,195m²square meters,Connected,Yes,15m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897357,East Falnders,,,14m²square meters,,,,,9m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148170,10148170,house,house,349000,forsale,9255,xl,installed,1950,good,fueloil,393,3,305,,,,true,,,,,,East Falnders,,,1950,Good,2,,,237m²square meters,40m²square meters,Installed,15m²square meters,3,33m²square meters,12m²square meters,1,,2,,,No,305m²square meters,,,,,,,,393 kWh/m²kilowatt hour per square meters,D,20220223-0002551704-RES-1,Not specified,Not specified,No,Fuel oil,,,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 428428 €,No,Valkebeekstraat 24 1861- Wolvertem,http://www.vmv-vastgoed.be,591 - V22LON/043,East Falnders,,,12m²square meters,12m²square meters,,,,,,,,,"Yes, conform",Yes,,,,,,,,,,Yes,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084875,10084875,house,house,350000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,198,,,15,true,true,,,,1,East Falnders,At delivery,,2021,As new,3,,Urban,174m²square meters,25m²square meters,Hyper equipped,14m²square meters,3,14m²square meters,13m²square meters,2,,3,6m²square meters,Yes,No,198m²square meters,Connected,Yes,15m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897359,East Falnders,,,14m²square meters,,,,,9m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084868,10084868,house,house,350000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,198,,,15,true,,,,,1,East Falnders,At delivery,,2021,As new,2,,Urban,174m²square meters,22m²square meters,Hyper equipped,15m²square meters,3,18m²square meters,16m²square meters,2,,2,,,No,198m²square meters,Connected,Yes,15m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897353,East Falnders,,,14m²square meters,,,,,9m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084870,10084870,house,house,355000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,200,,,15,true,true,,,,1,East Falnders,At delivery,,2021,As new,2,,Urban,176m²square meters,24m²square meters,Hyper equipped,17m²square meters,3,14m²square meters,17m²square meters,2,,3,9m²square meters,Yes,No,200m²square meters,Connected,Yes,15m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 355,000355000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897355,East Falnders,,,14m²square meters,,,,,9m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084866,10084866,house,house,380000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,3,223,,,16,true,,,,,1,East Falnders,At delivery,,2021,As new,3,,Urban,197m²square meters,25m²square meters,Hyper equipped,16m²square meters,3,21m²square meters,16m²square meters,2,,2,,,No,223m²square meters,Connected,Yes,16m²square meters,,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 380,000380000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897351,East Falnders,,,18m²square meters,,,,,10m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148030,10148030,house,house,419000,forsale,9130,xl,installed,1981,good,gas,218,4,330,,true,,true,,,2,3,,East Falnders,After signing the deed,,1981,Good,3,3,,205m²square meters,35m²square meters,Installed,,4,,,2,,3,,,No,330m²square meters,,,,,,,,218 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,No,Non flood zone,,"€ 419,000419000 €","€ 1,0211021 €",No,"Dorpsstraat, 21 9190- Stekene",http://www.vanhoyevastgoed.be,6323 - 1690411,East Falnders,,2,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151369,10151369,house,exceptionalproperty,3750000,forsale,9111,xl,hyperequipped,2016,asnew,,72,5,6585,,,6585,,,,2,4,,East Falnders,,,2016,As new,4,4,Countryside,362m²square meters,,Hyper equipped,,5,,,3,3,3,,No,No,6585m²square meters,,,6585m²square meters,No,No,Yes,No,72 kWh/m²kilowatt hour per square meters,A,2426306,Not specified,Not specified,,,Yes,No,Yes,No,Possible flood zone,Farming area,"€ 3,750,0003750000 €",,No,Kleine Vismarkt 2 9000- Gent,http://www.engelvoelkers.com/nl/gentcentrum,W-02MQ9M,East Falnders,,2,,,,,,,Yes,,,,No,,,,Yes,Yes,,,,,,,East,No,Yes,Yes,,No,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
10158698,10158698,house,house,387000,forsale,9080,xl,semiequipped,1969,tobedoneup,gas,524,3,798,,,,true,,,2,,,East Falnders,After signing the deed,,1969,To be done up,4,,,143m²square meters,,Semi equipped,,3,,,1,,,,,No,798m²square meters,,,,,,,,524 kWh/m²kilowatt hour per square meters,F,20220117-0002527424-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,,No,Non flood zone,"Living area (residential, urban or rural)","€ 387,000387000 €","€ 1,0881088 €",No,Damstraat 131 bus1 9800- St-Martens-Leerne,http://www.infinimo.be,16472 - 148/22/EDV,East Falnders,,2,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
