,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10149034,,,1,,1,1,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 129,000129000 €",,No,Ieperstraat 134 8930- Menen,http://www.immodevriendt.be/,OOS8,Hainaut,,,,,,,56m²square meters,20m²square meters,,25m²square meters,,,,1,,,56m²square meters,,Not connected,No,,,,,,,Electric,Yes,,,,6m²square meters,,,,,,"Living area (residential, urban or rural)",,,,No,,,No,,No,,,,,,,No,No,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113902,,,1,,1,1,Yes,,,850 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,"€ 140,000140000 €",,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3585 - V3700,Hainaut,After signing the deed,,,,,,,,,,,,,,,No,530m²square meters,,,,,,,,,,Pellet,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087187,,,1,,3,1,Yes,,,475 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,80875 kWh/year,"€ 169,000169000 €",,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3557 - v3689,Hainaut,After signing the deed,,,,,,,,,,,,,,,No,120m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9654191,,,1,,3,1,Yes,,,493 kWh/m²kilowatt hour per square meters,F,20211118018276,92 kg CO₂/m²,79923 kWh/year,"€ 119,000119000 €",€ 540540 €,No,Rue Sylvain Guyaux 85 7100- La Louviere,http://www.accip.be,1059,Hainaut,,,,,,,,,Not installed,,,,,1,,No,,,,,,,,,,,Gas,Yes,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9426085,,,1,,3,,,,,315 kWh/m²kilowatt hour per square meters,D,20210706018592,58 kg CO₂/m²,47975 kWh/year,"€ 175,000175000 €",,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1542 - 414,Hainaut,,,,,,,,,Not installed,,,,1,,,No,131m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8945149,,,1,,3,,,,,110 kWh/m²kilowatt hour per square meters,B,20150723500462,Not specified,18810 kWh/year,"€ 225,000225000 €",€ 631631 €,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1511 - 383,Hainaut,,,,,,,,,Installed,,,,1,2,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819414,,,1,,4,2,Yes,,Yes,271 kWh/m²kilowatt hour per square meters,D,20150329001782,Not specified,Not specified,"€ 595,000595000 €","€ 1,1351135 €",No,Rue Saint-Jacques 1 7500- Tournai,http://www.immo-gic.com,TJ055,Hainaut,,,,,,Urban,370m²square meters,,Hyper equipped,,,,,2,,,,,Not connected,No,,,,,,,,Yes,,,,,,,,Yes,,,,,,No,,,,,No,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9767157,,,1,Yes,2,1,Yes,,Yes,578 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,"Make an offer starting from€ 97,500Make an offer starting from97500 €",€ 435435 €,No,"Sentier Saint Joseph, 1 6183- TRAZEGNIES (COURCELLES)",,,Hainaut,After signing the deed,,,,,,,,,,,,,1,Yes,,337m²square meters,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabelle MINGRINO,,,,,,,,,,,,,,,,,,,,,
9359822,,,1,,4,2,Yes,,Yes,292 kWh/m²kilowatt hour per square meters,D,20180423017484,Not specified,86980 kWh/year,"€ 750,000750000 €",,No,Av. de Maire 23 Bis 7500- Tournai,,2875 - 1039,Hainaut,,,,,,,,,Installed,,,,,4,,No,,,,,,Yes,,,,,,,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9711635,,,1,,6,1,Yes,430m²square meters,,257 kWh/m²kilowatt hour per square meters,D,20211209014516,59 kg CO₂/m²,75802 kWh/year,"€ 249,000249000 €",€ 475475 €,No,rue de bomerée 134 6110- Montigny-le-Tilleul,http://www.trassudimmo.com,2496,Hainaut,,,,,,,210m²square meters,60m²square meters,Hyper equipped,,,,1,3,,No,430m²square meters,,,,40m²square meters,,,,,,Gas,Yes,,,,,,,,,,,,,,No,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056479,,,1,,3,1,Yes,,,410 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,"€ 149,000149000 €",,No,Rue de la Station 38 7090- Braine-le-Comte,http://www.century21.be/excellent-tubize,5312 - 87459998,Hainaut,,,,,,,,,Installed,,,,,,,No,,,,Yes,,,,,,,Fuel oil,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111046,,,1,Yes,5,1,Yes,,Yes,Not specified,E,20220908003263,Not specified,Not specified,"Make an offer starting from€ 230,000Make an offer starting from230000 €",€ 510510 €,No,"Rue de la Falaise, 79 5660- COUVIN",,,Hainaut,After signing the deed,,,,,,,,,,,,,,Yes,,1334m²square meters,,,,,,,,,,Fuel oil,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Philippe LAMBINET,,,,,,,,,,,,,,,,,,,,,
10139708,,,1,,3,1,,,,256 kWh/m²kilowatt hour per square meters,D,20220817030183,Not specified,40415 kWh/year,"Make an offer starting from€ 150,000Make an offer starting from150000 €",,No,Faubourg de Bruxelles 310 6041- Gosselies,,,Hainaut,After signing the deed,,,,,,,,,,,,,1,,,,,,,,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Barbara BUCCARELLO,,,,,,,,,,,,,,,,,,,,,
10046897,,,1,,3,,,,,253 kWh/m²kilowatt hour per square meters,C,20220729014769,Not specified,Not specified,"€ 309,000309000 €",,No,Rue de Faubourg 57A 7780- Comines,http://www.immo-gic.com,CD781,Hainaut,,,,,,"Living area (residential, urban or rural)",,,Installed,,,,,,,,,,Connected,Yes,,,,,,,,Yes,,,,,,,,,,,,,,No,,,,,No,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9939530,,,2,,4,1,Yes,45m²square meters,,567 kWh/m²kilowatt hour per square meters,G,20201223004996,Not specified,134852 kWh/year,"€ 115,000115000 €",€ 617617 €,No,place de la Victoire 15 6200- Châtelet,http://www.lafamille.immo,126,Hainaut,,,,,,,240m²square meters,,,,,,,2,Yes,No,,,,,,,,,,,Fuel oil,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038549,,,2,,3,1,,,,681 kWh/m²kilowatt hour per square meters,G,20220625007023,194 kg CO₂/m²,70326 kWh/year,"€ 185,000185000 €",€ 570570 €,No,Rue de la Samaritaine 40 6061- Charleroi,http://www.lorge.be,1503,Hainaut,,,1962,,,,,,,,,,,1,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900663,,,1,,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 219,000219000 €",,No,Rue Sylvain Guyaux 85 7100- La Louviere,http://www.accip.be,1081,Hainaut,,,,,,,,,Installed,,,,,1,,No,,,,,,,,,,,Gas,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107051,,,1,,3,1,,230m²square meters,,510 kWh/m²kilowatt hour per square meters,F,20220111021385,94 kg CO₂/m²,98730 kWh/year,"€ 100,000100000 €",€ 535535 €,No,Rue de la Samaritaine 40 6061- Charleroi,http://www.lorge.be,1484,Hainaut,,,,,,,,,,,,,,1,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8591528,,,2,,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 195,000195000 €",,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1485 - 322,Hainaut,,,,,,,,,Not installed,,,,,,,No,892m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8729054,,,1,,4,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 135,000135000 €",,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1491 - 328,Hainaut,,,,,1,,,,Not installed,,,,1,3,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8778104,,,1,,4,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 185,000185000 €",,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1500 - 373,Hainaut,,,,,,,,,Not installed,,,,1,3,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8937942,,,1,,4,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 188,000188000 €",,No,Place de Wasmes 20 7340- Colfontaine,http://www.immoconstantin.be,1509 - 373,Hainaut,,,,,,,,,Not installed,,,,1,3,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039182,,,1,,3,1,,,,692 kWh/m²kilowatt hour per square meters,G,20140612019620,14907 kg CO₂/m²,81769 kWh/year,"€ 69,00069000 €",,No,Rue Sylvain Guyaux 85 7100- La Louviere,http://www.accip.be,1098,Hainaut,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988274,,,,Yes,10,5,Yes,,,432 kWh/m²kilowatt hour per square meters,F,20210915026087,Not specified,Not specified,"€ 490,000490000 €","€ 1,5091509 €",No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3261647,Hainaut,,,1854,31 m,,,974m²square meters,,,,,,,6,,No,4491m²square meters,46.5 mmeters,Not connected,No,,No,No,No,Yes,No,Fuel oil,Yes,,,,,Yes,North West,,,,Park area,Yes,No,,Yes,No,464m²square meters,,,No,,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9988273,,,,Yes,10,5,Yes,,,432 kWh/m²kilowatt hour per square meters,F,20210915026087,Not specified,Not specified,"€ 490,000490000 €","€ 1,5091509 €",No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3261658,Hainaut,,,1854,31 m,,,974m²square meters,,,,,,,6,,No,4491m²square meters,46.5 mmeters,Not connected,No,,No,No,No,Yes,No,Fuel oil,Yes,,,,,Yes,North West,,,,Park area,Yes,No,,Yes,No,464m²square meters,,,No,,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10115021,,,,Yes,4,1,Yes,,,476 kWh/m²kilowatt hour per square meters,F,20220818001564,Not specified,102391 kWh/year,"Make an offer starting from€ 195,000Make an offer starting from195000 €",€ 419419 €,No,"Chaussée Victor Lampe, 125 7866- OLLIGNIES-LESSINES",,,Hainaut,After signing the deed,,,,,,,,,,,,1,1,Yes,,,,Connected,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,No,,,,,,,,,,,Camille PAKMANS,,,,,,,,,,,,,,,,,,,,,
10121511,,,,Yes,2,,,,,502 kWh/m²kilowatt hour per square meters,F,20220519007397,Not specified,60729 kWh/year,"Make an offer starting from€ 120,000Make an offer starting from120000 €",€ 505505 €,No,"Rue des Déportés, 2B 6041- Gosselies",,,Hainaut,After signing the deed,,,,,,121m²square meters,,,,,,,,,,820m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Alison ES,,,,,,,,,,,,,,,,,,,,,
10130931,,,,Yes,3,,Yes,,,449 kWh/m²kilowatt hour per square meters,F,20151022005628,Not specified,67221 kWh/year,"Make an offer starting from€ 155,000Make an offer starting from155000 €",€ 557557 €,No,"Rue des Déportés, 2B 6041- Gosselies",,,Hainaut,After signing the deed,,,,,,150m²square meters,,,,,,,,Yes,,,,Connected,,,,,,,,Fuel oil,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Alison ES,,,,,,,,,,,,,,,,,,,,,
10109321,,,,Yes,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 572,743572743 €",,No,LEOPOLDSTRAAT 162 9400- Ninove,http://www.nb-projects.be,SDB22083001,Hainaut,,,,,,,,,,,,,,2,,,1153m²square meters,,Connected,Yes,,No,No,No,Yes,No,,No,,,,,,,,,,,,,,No,No,,,,Yes,Yes,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10127962,,,,Yes,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 584,143584143 €",,No,LEOPOLDSTRAAT 162 9400- Ninove,http://www.nb-projects.be,SDB22091305,Hainaut,,,,,,,,,,,,,,2,,,1795m²square meters,,Connected,Yes,,No,No,No,Yes,No,,No,,,,,,,,,,,,,,No,No,,,,Yes,Yes,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10127961,,,,Yes,3,2,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 682,290682290 €",,No,LEOPOLDSTRAAT 162 9400- Ninove,http://www.nb-projects.be,SDB22091306,Hainaut,,,,,,,,,,,,,,2,,,1580m²square meters,,Connected,Yes,,No,No,No,Yes,No,,No,,,,,,,,,,,,,,No,No,,,,No,Yes,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10127963,,,,Yes,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 574,333574333 €",,No,LEOPOLDSTRAAT 162 9400- Ninove,http://www.nb-projects.be,SDB22091304,Hainaut,,,,,,,,,,,,,,2,,,1430m²square meters,,Connected,Yes,,No,No,No,Yes,No,,No,,,,,,,,,,,,,,No,No,,,,Yes,Yes,,,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10164702,,,,Yes,3,1,Yes,,Yes,229 kWh/m²kilowatt hour per square meters,C,20221003010498,Not specified,77402 kWh/year,"€ 470,000470000 €",€ 653653 €,No,Boulevard d'Hersaux 1 7711- Dottignies,,,Hainaut,To be defined,,,,,,295m²square meters,,Installed,,,,,1,Yes,,470m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,,,,,,Sébastien STRICANNE,,,,,,,,,,,,,,,,,,,,,
9908794,,,,Yes,8,1,Yes,,Yes,359 kWh/m²kilowatt hour per square meters,E,20220504018688,Not specified,187550 kWh/year,"Make an offer starting from€ 250,000Make an offer starting from250000 €","€ 2,1192119 €",No,Chaussée du Pont du Sart 12 7110- Houdeng-Aimeries,,,Hainaut,After signing the deed,,1970,,,,,,Not installed,,,,1,2,,,1040m²square meters,,,,,,,,,,Fuel oil,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,Valerie PAQUET,,,,,,,,,,,,,,,,,,,,,
9989280,,,,Yes,4,1,,,,522 kWh/m²kilowatt hour per square meters,G,20220524012152,Not specified,102322 kWh/year,"€ 699,000699000 €","€ 1,7591759 €",No,Boulevard d'Hersaux 1 7711- Dottignies,,,Hainaut,To be defined,,,,,,,,Installed,,,,1,1,,,2655m²square meters,,,,,,,,,,Electric,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Sébastien STRICANNE,,,,,,,,,,,,,,,,,,,,,
10152407,,,,Yes,2,,,,,583 kWh/m²kilowatt hour per square meters,G,20220914021324,Not specified,53176 kWh/year,"Make an offer starting from€ 90,000Make an offer starting from90000 €",€ 372372 €,No,Chaussée du Pont du Sart 12 7110- Houdeng-Aimeries,,,Hainaut,After signing the deed,,,,,,,,,,,,,,Yes,,230m²square meters,,,,,,,,,,Gas,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,Valerie PAQUET,,,,,,,,,,,,,,,,,,,,,
10111061,,,,Yes,3,,,,,83 kWh/m²kilowatt hour per square meters,A,20220909500235,Not specified,9852 kWh/year,"€ 270,442270442 €",,No,Chaussée du Pont du Sart 12 7110- Houdeng-Aimeries,,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,,,,46m²square meters,,,,,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,No,,,,,,Yes,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,Valerie PAQUET,,,,,,,,,,,,,,,,,,,,,
9903262,,,,Yes,4,1,Yes,,,251 kWh/m²kilowatt hour per square meters,C,20220315032225,Not specified,93366 kWh/year,"€ 380,000380000 €","€ 1,4941494 €",No,"Rue Léon Houtart, 28 7110- HOUDENG-GOEGNIES",http://www.notaire-bricout.be,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,2,,,,,,,,,,,,,Gas,,,,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Sandy LUFRANO,,,,,,,,,,,,,,,,,,,,,
10127108,,,,Yes,2,1,Yes,628m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 115,000115000 €",€ 326326 €,No,Rue de Nimy 31A/0-1 7000- Mons,http://www.immo-geo.be,398,Hainaut,,,1934,,2,,86m²square meters,,Installed,,,,,1,,No,680m²square meters,,,,,,,,,,Fuel oil,No,,,,,,South,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,Jonathan Albert,,,,,,,,,,,,,,,,,,,,,
10051287,,,,Yes,3,1,,,Yes,486 kWh/m²kilowatt hour per square meters,F,20220807000455,Not specified,92614 kWh/year,"Make an offer starting from€ 180,000Make an offer starting from180000 €",€ 833833 €,No,"Rue Léon Houtart, 28 7110- HOUDENG-GOEGNIES",http://www.notaire-bricout.be,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,,,,,,,,,,,,,,Fuel oil,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Tiziana SALAMONE,,,,,,,,,,,,,,,,,,,,,
10128927,,,,Yes,2,,Yes,,,316 kWh/m²kilowatt hour per square meters,D,2022080413797,Not specified,36409 kWh/year,"Make an offer starting from€ 110,000Make an offer starting from110000 €",€ 183183 €,No,Rue Achille Descamps 9 7382- AUDREGNIES,,,Hainaut,After signing the deed,,,,,,,,,,,,1,,Yes,,,,Connected,,,,,,,,Fuel oil,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Géry LEFEBVRE,,,,,,,,,,,,,,,,,,,,,
10086792,,,,Yes,3,,,,,279 kWh/m²kilowatt hour per square meters,D,20220827001506,Not specified,31362 kWh/year,"Make an offer starting from€ 160,000Make an offer starting from160000 €",€ 347347 €,No,"Rue Neuve, 18 7000- MONS",,,Hainaut,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Isabelle ZICOT,,,,,,,,,,,,,,,,,,,,,
10073657,,,,Yes,3,,,,,334 kWh/m²kilowatt hour per square meters,D,20210416024334,Not specified,Not specified,"€ 105,000105000 €",,Yes,Rue des Récollets 15 7130- Binche,http://www.immosaldi.be,IMMOSALDI_101022,Hainaut,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,,,,,,Extended residential area,,,,No,,,,,No,,,,,,,,,,,,,,,,,,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9479627,,,,Yes,3,2,,,,440 kWh/m²kilowatt hour per square meters,F,20210819000989,3 kg CO₂/m²,Not specified,"€ 620,000620000 €",,No,rue du Pont-Quelin 12 Bt A 7800- Ath,http://www.yelo-immo.be,spir227,Hainaut,,,,,2,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,,,,,,Extended residential area,,,,No,,,,,No,,,,,,,,,,,,,,,,,,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9231721,,,,Yes,6,,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,"Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 916916 €,No,Rue de la Grande Couture 2 7522- Tournai,,,Hainaut,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Pascal CASTERMAN,,,,,,,,,,,,,,,,,,,,,
10114619,,,,,5,1,,,Yes,303 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 385,000385000 €",€ 207207 €,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20415 - VK 4219,Hainaut,After signing the deed,,,,,,240m²square meters,,Semi equipped,12m²square meters,12m²square meters,10m²square meters,,,,No,1533m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,No,Yes,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126846,,,,,3,1,,,,348 kWh/m²kilowatt hour per square meters,E,20220916027095,Not specified,75011 kWh/year,"€ 350,000350000 €",€ 540540 €,No,Rue Haute 3 7911- Frasnes-lez-Buissenal,http://www.immobiliere-dumoulin.be,1240 - 2318,Hainaut,,,,,2,,185m²square meters,,,24m²square meters,14m²square meters,12m²square meters,1,2,,No,3530m²square meters,,,,,,,,,,Gas,,,,,21m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136817,,,,,2,1,Yes,,Yes,430 kWh/m²kilowatt hour per square meters,F,20220822024659,Not specified,70810 kWh/year,"€ 185,000185000 €",€ 743743 €,No,Chaussée de Charleroi 226 6220- Fleurus,http://www.davidrobin.be,6553 - 3350,Hainaut,,March 15 2023 - 12:00 AM,,,,,128m²square meters,,Not installed,16m²square meters,13m²square meters,,,2,,No,,,,,,,,,,,,,,,,5m²square meters,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9882747,,,,,2,1,Yes,,,385 kWh/m²kilowatt hour per square meters,E,20210921013932,Not specified,Not specified,"€ 280,000280000 €","€ 1,4101410 €",Yes,Rue de France 13 7700- Mouscron-Dottignies,http://www.immobiliereduhainaut.be,1218 - 1953,Hainaut,,,,,,,250m²square meters,,Not installed,,,,,1,,No,220m²square meters,,,,,,,,,,Gas,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130082,,,,,4,2,,,,224 kWh/m²kilowatt hour per square meters,C,20150319016804,Not specified,Not specified,"€ 695,000695000 €","€ 1,0581058 €",No,Posterijstraat 12 8793- Waregem,,M 56A EL,Hainaut,,,1998,16 m,,Countryside,277m²square meters,,,17m²square meters,14m²square meters,22m²square meters,,2,,No,7258m²square meters,65 mmeters,Connected,No,,No,No,Yes,Yes,No,Electric,Yes,,,,,Yes,South,,,22m²square meters,"Living area (residential, urban or rural)",Yes,No,,No,No,158m²square meters,No,,No,,,126m²square meters,,,,No,No,No,No,,No,,No,,,,,,,,No,,,,,,No,,,,,,,,,,,All kind,,,,,,,,,,,,,
9786004,,,,,2,1,Yes,,Yes,94 kWh/m²kilowatt hour per square meters,B,20210604500540,Not specified,Not specified,"€ 235,000235000 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3180529,Hainaut,,,2020,,,,98m²square meters,,,,,,,,,,2800m²square meters,,Connected,Yes,,No,No,No,Yes,No,Gas,Yes,,,,,Yes,South West,,,,"Living area (residential, urban or rural)",Yes,,,No,Yes,,,,No,Yes,,,,,,No,No,No,No,,No,,Yes,,,,,,,,No,,,,Côté Dendre,,No,,,,,,,,,,,,,,,,,,,,,,,,
