,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
9467840,9467840,housegroup,housegroup,624222-667411,forsale,3000,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
9504004,9504004,house,house,695000,forsale,1780,xl,hyperequipped,1974,asnew,gas,340,5,661,true,,510,true,,,1,3,,Flemish Brabant
9468323,9468323,housegroup,housegroup,717426-745831,forsale,3000,xl,,,,,,,,,,,,,,,,1,Flemish Brabant
10085784,10085784,house,villa,735000,forsale,1640,xl,hyperequipped,1974,good,gas,339,4,951,true,true,700,true,,true,2,2,,Flemish Brabant
10112268,10112268,housegroup,housegroup,1365000-1365000,forsale,1970,xl,,,,,45,,,,,,,,,1,1,1,Flemish Brabant
10126511,10126511,house,house,1375000,forsale,3080,xl,hyperequipped,1972,good,fueloil,204,6,1557,true,true,1300,true,true,,2,4,,Flemish Brabant
10085785,10085785,house,villa,735000,forsale,1650,xl,hyperequipped,1974,good,gas,339,4,951,true,true,700,true,,true,2,2,,Flemish Brabant
9797648,9797648,house,villa,2750000,forsale,1640,xl,hyperequipped,1962,asnew,fueloil,255,5,4539,true,true,,true,true,,2,6,,Flemish Brabant
10159238,10159238,house,house,395000,forsale,1831,xl,hyperequipped,1990,justrenovated,gas,352,4,173,,true,,true,,,,,,Flemish Brabant
9941053,9941053,housegroup,housegroup,2915000-3140000,forsale,1933,xl,,,,,46,,,,,,,,,,,1,Flemish Brabant
10166868,10166868,house,mixedusebuilding,449000,forsale,1780,xl,installed,1930,good,gas,529,2,118,,true,,true,,,,,,Flemish Brabant
10164476,10164476,house,house,328000,forsale,1650,xl,semiequipped,1972,torenovate,fueloil,563,3,267,,,,true,,,1,2,,Flemish Brabant
10163752,10163752,house,house,269000,forsale,1800,xl,hyperequipped,1899,good,gas,430,3,90,,,,,,,,,,Flemish Brabant
10164475,10164475,house,house,328000,forsale,1652,xl,semiequipped,1972,torenovate,fueloil,563,3,267,,,,true,,,1,2,,Flemish Brabant
9878348,9878348,house,house,695000,forsale,1950,xl,hyperequipped,1990,good,gas,228,3,233,,,95,true,,,1,3,,Flemish Brabant
10161722,10161722,house,house,199000,forsale,3202,xl,semiequipped,1918,torenovate,fueloil,716,3,1870,,,,,,,1,,,Flemish Brabant
10068980,10068980,house,house,499000,forsale,1820,xl,hyperequipped,1970,asnew,gas,346,3,1090,true,true,850,true,,,1,4,,Flemish Brabant
10154776,10154776,house,mixedusebuilding,495000,forsale,1933,xl,hyperequipped,1900,good,gas,,2,270,true,,,true,,,,4,,Flemish Brabant
10149677,10149677,house,house,395000,forsale,1650,xl,semiequipped,1966,torenovate,,912,3,312,,true,,true,,,2,1,,Flemish Brabant
10149680,10149680,house,house,369000,forsale,1755,xl,semiequipped,1965,tobedoneup,fueloil,811,3,1407,,true,1075,,true,,2,1,,Flemish Brabant
10160298,10160298,house,house,595000,forsale,1950,xl,hyperequipped,1989,good,gas,213,5,269,true,,,true,true,,1,2,,Flemish Brabant
10161823,10161823,house,mixedusebuilding,395000,forsale,1730,xl,hyperequipped,1951,asnew,,319,1,376,,,200,true,,,6,5,,Flemish Brabant
10160615,10160615,house,villa,1350000,forsale,3078,xl,,1968,tobedoneup,fueloil,354,3,6700,,,3000,true,true,true,1,20,,Flemish Brabant
9438942,9438942,house,house,349000,forsale,1700,xl,usainstalled,1936,good,gas,670,3,280,,true,200,true,true,,,,,Flemish Brabant
10006858,10006858,house,house,335000,forsale,1840,xl,semiequipped,1946,tobedoneup,fueloil,469,5,125,,true,,,,,1,,,Flemish Brabant
10096519,10096519,house,house,375000,forsale,1800,xl,installed,1965,asnew,fueloil,265,3,147,true,true,45,true,,,,,,Flemish Brabant
9915791,9915791,house,house,379000,forsale,1700,xl,installed,1935,good,gas,596,3,305,,true,,true,,,1,,,Flemish Brabant
