,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
9993596,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,423m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 418,317418317 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,OB: 418.317 €,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
9902195,,2022,,,1,160m²square meters,,,,3,,,,1,2,,,540m²square meters,Yes,North East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 440,645440645 €",,No,Kortrijksesteenweg 241A 9830- Sint-Martens-Latem,http://www.ocvastgoed.be,ML.0021B,West Flanders,,1,,Yes,No,No,,,,,,,,,,,,No,,,,,Yes,,Yes,,,No,No,No,No,Connected,Yes,Yes,96m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902194,,2022,,,1,160m²square meters,,,,3,,,,1,2,,,592m²square meters,Yes,North East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 454,995454995 €",,No,Kortrijksesteenweg 241A 9830- Sint-Martens-Latem,http://www.ocvastgoed.be,ML.0021C,West Flanders,,1,,Yes,No,No,,,,,,,,,,,,No,,,,,Yes,,Yes,,,No,No,No,No,Connected,Yes,Yes,96m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079207,,2022,Good,,,,,,,3,,,,1,2,,No,186m²square meters,Yes,South,,,40 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,,No,"€ 511,879511879 €",,No,Gistelsesteenweg 291 8200- Sint Andries,http://www.bricx.be,Woning 03,West Flanders,,,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,No,,177m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993604,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,850m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 614,257614257 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,Deerlijk,West Flanders,,,Countryside,,No,No,,,No,No,No,No,Yes,No,,,,No,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,All kind,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10140438,,1963,To be done up,,3,,,,,3,,,,1,,,,615m²square meters,,,No,No,522 kWh/m²kilowatt hour per square meters,F,20220928-0002682814-RES-1,Not specified,Not specified,,,No,"€ 295,000295000 €",€ 941941 €,No,Brugsesteenweg 30 8500- Kortrijk,,22044,West Flanders,,2,Urban,Yes,No,Yes,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153965,,2022,,,,,,,,4,,,,1,1,,No,404m²square meters,Yes,North West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 376,500376500 €",,No,Noordlaan 51 8800- Roeselare,http://www.bricx.be,BR/ML/TK/0249,West Flanders,9 m,1,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,No,,164m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995528,,2022,,,,188m²square meters,,,,4,,,,,,,,326m²square meters,Yes,East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 299,000299000 €",,No,Oostrozebekestraat 3 8760- Meulebeke,http://www.immoschepens.be,5079,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,,No,,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,
10009222,,2022,,,,164m²square meters,,,,3,,,,1,2,,,993m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 372,500372500 €",,No,Schoolstraat 43 8540- Deerlijk,http://www.immotaelman.be,3249343,West Flanders,,,Countryside,Yes,No,No,,,,,,,,,,,Yes,No,No,No,,"Living area (residential, urban or rural)",,,Yes,No,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,All kind,,,20,Nieuwbouwwoning in Moderne stijl - CASCO,,,,,,,,,,,,,,,,,,,,,,,,,
9970521,,2022,,,,164m²square meters,,,,3,,,,1,2,,,993m²square meters,Yes,East,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 492,500492500 €",,No,Schoolstraat 43 8540- Deerlijk,http://www.immotaelman.be,3249343C,West Flanders,,,Countryside,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,,"Living area (residential, urban or rural)",,,Yes,No,,No,No,No,No,Not connected,No,,,,December 23 2022 - 12:00 AM,,,,,,,,,,,,,,,All kind,,,20,Nieuwbouwwoning in Moderne stijl,,,,,,,,,,,,,,,,,,,,,,,,,
10000787,,2022,,,,188m²square meters,,Installed,,3,,,,1,2,,No,217m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 334,000334000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beveren-Leie fase,West Flanders,,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
10102099,,2021,Good,,,,,,,3,,,,1,2,,No,213m²square meters,Yes,South,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 358,500358500 €",,No,Gistelsesteenweg 291 8200- Sint Andries,http://www.bricx.be,WD 07,West Flanders,,,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,164m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000786,,2022,,,,217m²square meters,,Installed,,3,,,,1,2,,No,209m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 367,500367500 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beveren-Leie fase,West Flanders,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
9559113,,2021,,,,113m²square meters,,Hyper equipped,,3,21m²square meters,14m²square meters,14m²square meters,2,2,,No,110m²square meters,Yes,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 367,000367000 €",,No,Markt 19 8210- Zedelgem,http://www.immostijn.be,S225,West Flanders,,1,,,No,No,,,,,,,,,,,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Not connected,Yes,,,,,,,,45m²square meters,24m²square meters,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10000785,,2022,,,,217m²square meters,,Installed,,3,,,,1,2,,No,361m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 446,990446990 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beveren-Leie fase,West Flanders,,,,,No,No,,,,,,,,,,,,No,,,,,,,,,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,All kind,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
10157308,,2021,,,,,,Hyper equipped,,3,,,,1,2,,,340m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 392,602392602 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,BeernemC,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10079317,,2021,Good,,,,,,,3,,,,1,2,,No,213m²square meters,Yes,South,,,25 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,,No,"€ 358,500358500 €",,No,Gistelsesteenweg 291 8200- Sint Andries,http://www.bricx.be,WD L07,West Flanders,,,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,164m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012033,,2022,,3,,,,,,3,,,,1,2,,No,275m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 372,000372000 €",,No,Rabattestraat 1 8340- Damme,http://www.vanpouckevastgoed.be,Vanpoucke 272,West Flanders,8 m,,,,,No,14 mmeters,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055565,,1955,To be done up,,,,,,,3,,,,1,,,,400m²square meters,,,,,719 kWh/m²kilowatt hour per square meters,F,20220808-0002652691-RES-1,Not specified,Not specified,,,No,"€ 325,000325000 €",€ 832832 €,No,"strandlaan, 337 8670- Sint-Idesbald",http://www.century21tackoen.be,K-47,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,No,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9718255,,2022,,3,,139m²square meters,,,,3,,,,1,2,,No,246m²square meters,Yes,East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 301,100301100 €",,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/05542,West Flanders,6 m,1,,Yes,,No,41 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012034,,2022,,3,,,,,,3,,,,1,2,,No,289m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 393,000393000 €",,No,Rabattestraat 1 8340- Damme,http://www.vanpouckevastgoed.be,Vanpoucke 273,West Flanders,8 m,,,,,No,11 mmeters,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079312,,2021,Good,,,,,,,3,,,,1,2,,No,410m²square meters,Yes,South,,,25 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,,No,"€ 433,500433500 €",,No,Gistelsesteenweg 291 8200- Sint Andries,http://www.bricx.be,WD 05,West Flanders,,,,Yes,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,194m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617689,,1955,As new,,,398m²square meters,,,,4,,,,1,5,,,233m²square meters,,,Yes,No,Not specified,Not specified,20200320-0002261850-KNR-1,Not specified,Not specified,,,No,"€ 795,000795000 €","€ 2,0952095 €",No,Natiënlaan 231 8300- Knokke-Heist,http://www.immonano.be,L2175,West Flanders,,2,,,No,Yes,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,No,1,No,No,No,No,Connected,Yes,Yes,566m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157307,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,338m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 379,155379155 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,OudenburgC,West Flanders,,,Urban,,Yes,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164619,,1935,,2,,179m²square meters,,,,2,,,,1,,,,150m²square meters,,,,,562 kWh/m²kilowatt hour per square meters,F,20220827-0002663113-RES-1,Not specified,Not specified,,,,,€ 510510 €,No,"Bruggestraat, 142 8830- HOOGLEDE",,,West Flanders,,1,,Yes,,,,,,,,,,,,,Yes,,,,Non flood zone,,,Yes,Yes,,,,,,,,,,,Aron VANDROMME,December 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Link to online sale,No,"nl :Zat. van 14u-16u, vanaf 22/10 tem 12/11","€ 185,000185000 €",,,,,,,,,,,,
10079606,,2007,Good,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 325,000325000 €",,No,Zoutelaan 148300- Knokke-Heist,,TK651,West Flanders,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Not connected,No,,136m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055692,,2022,,,,,,Hyper equipped,,3,,,,,2,,,936m²square meters,Yes,South,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 463,250463250 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,IzegemC,West Flanders,,1,Urban,,Yes,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10058277,,2022,,3,,240m²square meters,,,,5,,,,3,,,,240m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 795,000795000 €",,No,Zeedijk Heist 273 8301- Knokke-Heist,http://www.immo-cauwe.be,H289,West Flanders,,1,,,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,Yes,No,3,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138175,,2025,,,,204m²square meters,,,,3,,,,2,,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 650,000650000 €",,No,Zeedijk 513 8300- KNOKKE,http://www.immo-woestyn.be,KALV 2 BLC,West Flanders,,1,"Living area (residential, urban or rural)",,No,No,,,,,,,,,,,Yes,No,No,No,Non flood zone,Extended residential area,Yes,Yes,Yes,No,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157302,,2020,,,,,,Hyper equipped,,3,,,,1,2,,,368m²square meters,Yes,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 389,810389810 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,TieltCC,West Flanders,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
10143732,,1930,Good,,,128m²square meters,,,8m²square meters,2,,,,1,,,No,254m²square meters,,,,,211 kWh/m²kilowatt hour per square meters,C,20121127-0001258325-00000002-2,Not specified,Not specified,,,No,"€ 159,500159500 €",€ 332332 €,No,Eug. de Grootelaan 24 8650- Houthulst,http://www.zakenkantoortrybou.be,,West Flanders,,1,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,Not connected,No,,,,,,,,26m²square meters,,,No,,,,,,,,Town-house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9718259,,2022,,3,,139m²square meters,,,,3,,,,1,2,,No,370m²square meters,Yes,East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 343,450343450 €",,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/05551,West Flanders,6 m,1,,Yes,,No,41 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Not connected,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993590,,2022,,,,,,Hyper equipped,,3,,,,1,2,,,485m²square meters,Yes,South West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 405,239405239 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,OB: 405.239,West Flanders,,,Urban,,No,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
9902196,,2022,,,1,162m²square meters,,,,4,,,,1,3,,,399m²square meters,Yes,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 398,053398053 €",,No,Kortrijksesteenweg 241A 9830- Sint-Martens-Latem,http://www.ocvastgoed.be,ML.0021A,West Flanders,,1,,Yes,No,No,,,,,,,,,,,,No,,,,,Yes,,Yes,,,No,No,No,No,Connected,Yes,Yes,102m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993602,,2022,,,,,,Hyper equipped,,3,,,,1,,,,586m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 438,353438353 €",,No,Kon Albertstraat 10/2 8500- Kortrijk,,Hooglede,West Flanders,,,Urban,,Yes,No,,,No,No,No,No,Yes,No,,,,,,,,,,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10144992,,2022,,,,143m²square meters,,,,3,,,,2,2,,,230m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 396,000396000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Sijsele lot 109C,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145011,,2022,,,,212m²square meters,,,,4,,,,1,2,,,192m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 375,500375500 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beernem prijsdali,West Flanders,,1,,Yes,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10063146,,1985,,,3,250m²square meters,,,,3,,,,2,,,No,600m²square meters,,,,,229 kWh/m²kilowatt hour per square meters,C,20220810-0002653813-RES-1,Not specified,Not specified,,,No,"€ 550,000550000 €",,No,Artanlaan 2 8620- Nieuwpoort,https://www.century21seaport.be/nl/,HenJas2022,West Flanders,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145010,,2022,,,,148m²square meters,,,,3,,,,1,2,,,250m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 406,000406000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beernem prijsdali,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10144991,,2022,,,,181m²square meters,,,,3,,,,1,2,,,252m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 428,500428500 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Sijsele lot 93C,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145009,,2022,,,,164m²square meters,,,,4,,,,1,2,,,347m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 481,700481700 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Beernem prijsdali,West Flanders,,,,Yes,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
10144993,,2022,,,,185m²square meters,,,,4,,,,2,2,,,352m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,"€ 502,000502000 €",,No,Landegemstraat 10 9031- Drongen,http://www.durabrik.be,0. Sijsele lot 106C,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Not connected,No,Yes,,,,,,,,,,,,,,,,,,All kind,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10132030,,2022,,,,,,,,3,,,,,,,,425m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 376,000376000 €",,No,Reigerlostraat 1B 8730- Beernem,http://www.perspectiefvastgoed.be,1557/[email protected],West Flanders,,,,,No,No,,,,,,,,,,,,No,No,No,,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
