,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10124759,,,1961,Good,4,,,265m²square meters,,,,4,,,1,,,,,No,550m²square meters,Connected,Yes,,,,,,253 kWh/m²kilowatt hour per square meters,C,20220711-0002626547-res-1,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,Area of landscape interest,"Make an offer starting from€ 380,000Make an offer starting from380000 €",€ 887887 €,No,Holstraat 86 8790- Waregem,http://www.era.be/bossuyt,22553,East Falnders,,,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,253,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
9530763,,,1920,To be done up,2,,,115m²square meters,35m²square meters,Semi equipped,10m²square meters,3,30m²square meters,17m²square meters,1,,1,,,,93m²square meters,,Yes,45m²square meters,,,Yes,,546 kWh/m²kilowatt hour per square meters,F,20210603-0002442026-RES-1,Not specified,Not specified,No,Fuel oil,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 175,000175000 €",€ 369369 €,,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,East Falnders,4.5 m,,15m²square meters,,,Yes,4.5 mmeters,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080098,,,1940,To renovate,,,,96m²square meters,25m²square meters,,8m²square meters,1,19m²square meters,,1,,,8m²square meters,Yes,No,52m²square meters,Connected,Yes,,,,,,340 kWh/m²kilowatt hour per square meters,D,20220826-0002662736-RES-1,Not specified,Not specified,,,Yes,No,Yes,,Non flood zone,"Living area (residential, urban or rural)","€ 219,000219000 €",€ 242242 €,No,Beukenlaan 36/0202 9051- Sint-Denijs-Westrem,http://www.abitos.be,VK22002,East Falnders,4.45 m,,,,,,,,Yes,,,,,,,,,No,,No,No,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9462722,,,1964,To renovate,3,5,,195m²square meters,15m²square meters,Semi equipped,25m²square meters,3,17m²square meters,14m²square meters,,,1,,,No,1005m²square meters,,Yes,700m²square meters,,,Yes,,589 kWh/m²kilowatt hour per square meters,F,20210809-0002449003-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 255,000255000 €",€ 847847 €,,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,East Falnders,5.9 m,,10m²square meters,,,,9.26 mmeters,20m²square meters,Yes,,,,"Yes, conform",,,Yes,,,8m²square meters,Yes,,Yes,Yes,,South West,,,,,,,,,Yes,,,50m²square meters,,South West,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124752,,,1958,Good,3,,,180m²square meters,,,,4,,,1,,,,,No,1032m²square meters,Not connected,Yes,,,,,,359 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 360,000Make an offer starting from360000 €",,No,Holstraat 86 8790- Waregem,http://www.era.be/bossuyt,22559,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,359,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10163469,,,1933,Good,2,,,156m²square meters,,Installed,,3,,,1,,2,,Yes,No,202m²square meters,Connected,Yes,,No,No,No,No,203 kWh/m²kilowatt hour per square meters,C,2688867,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 435,000435000 €",€ 352352 €,No,Kortrijksesteenweg 19 9830- Sint-Martens-Latem,http://www.irres.be,977V,East Falnders,5 m,,,,,,5 mmeters,,Yes,,,,,Yes,,Yes,No,,,,,,,Yes,South,,No,No,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9954748,,,1962,To renovate,4,1,Countryside,99m²square meters,29m²square meters,Semi equipped,8m²square meters,3,15m²square meters,14m²square meters,1,1,1,,,No,300m²square meters,Connected,Yes,183m²square meters,,,,,679 kWh/m²kilowatt hour per square meters,F,0002273373-RES-1,Not specified,Not specified,No,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 254,000254000 €",€ 451451 €,,Kleitstraat 62 9930- Zomergem,,,East Falnders,11 m,1,10m²square meters,,,,23.6 mmeters,22m²square meters,Yes,,,,No,,,,,,2m²square meters,,,,,,,,,,,,,,,Yes,,,,,,2,,,,,,,,,Sofie Sonneville,,,,,,,,,,,,,,,,,,
10098277,,,2016,As new,3,1,"Living area (residential, urban or rural)",196m²square meters,36m²square meters,Hyper equipped,15m²square meters,3,13m²square meters,12m²square meters,2,,2,,,No,330m²square meters,Connected,Yes,170m²square meters,,,,,127 kWh/m²kilowatt hour per square meters,B,0002663167-RES-1,Not specified,Not specified,"Yes, conform",Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €",€ 970970 €,,Singelweg 19 9200- Dendermonde,http://www.immonuance.com,,East Falnders,7 m,1,11m²square meters,,,,10 mmeters,15m²square meters,Yes,,,,,,Matexi wijk,,,,,Yes,,,,,North East,,,,,,,,,Yes,,,40m²square meters,,,,,,,,,,,,Annick Immo Nuance,,,,,,,,,,,,,,,,,,
10162394,,,1997,Good,4,3,,319m²square meters,,,,4,,,2,,,,No,No,1057m²square meters,Connected,Yes,,,,,,237 kWh/m²kilowatt hour per square meters,C,2683549,Not specified,Not specified,,Gas,Yes,Yes,No,No,Non flood zone,Extended residential area,"€ 995,000995000 €","€ 3,3763376 €",No,Kortrijksesteenweg 19 9830- Sint-Martens-Latem,http://www.irres.be,978V,East Falnders,15 m,2,,,,,25 mmeters,,Yes,,,,,,,,,,,,,,,Yes,South,,,,Villa,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9666147,,,1978,Good,4,5,Shop street,350m²square meters,,Semi equipped,,,,,,4,4,350m²square meters,Yes,No,,,Yes,,Yes,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 795,000795000 €",,Yes,GROTESTEENWEG NOORD 15 9052- Gent,,1174 - 807,East Falnders,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,,,,,,,,,,,,,,,,,
9666146,,,1978,Good,4,5,Shop street,350m²square meters,,Semi equipped,,,,,,4,4,350m²square meters,Yes,No,,,Yes,,Yes,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 795,000795000 €",,Yes,GROTESTEENWEG NOORD 15 9052- Gent,,1173 - 807,East Falnders,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,,,,,,,,,,,,,,,,,
10166303,,,1948,As new,,,Urban,156m²square meters,,Installed,,3,,,1,,2,,Yes,No,1042m²square meters,Connected,Yes,,No,No,Yes,No,603 kWh/m²kilowatt hour per square meters,F,20220508-0002599123-RES-1,Not specified,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 319,000319000 €",€ 794794 €,Yes,Grote Markt 13 9600- Ronse,,Gro9,East Falnders,,,,,Yes,,,,No,,,,,Yes,,,No,No,,No,No,No,No,Yes,East,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9868529,,,1993,Good,2,,,203m²square meters,,,,3,,,1,,1,,,No,,,,,,,,,318 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,,,,No,,Non flood zone,,"€ 329,000329000 €","€ 1,3111311 €",Yes,Grote Markt 61 9100- Sint-Niklaas,,4116 - 4558,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014366,,,1987,To be done up,4,3,,155m²square meters,41m²square meters,Installed,12m²square meters,3,14m²square meters,12m²square meters,1,,2,,,No,1016m²square meters,,,,,,,,437 kWh/m²kilowatt hour per square meters,E,2635654,Not specified,Not specified,No,Electric,Yes,No,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 420,000420000 €",€ 941941 €,No,Yzerhand 14 9120- Beveren,,1913 - 2251,East Falnders,,1,10m²square meters,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116268,,,1994,Good,4,,,454m²square meters,36m²square meters,Installed,14m²square meters,3,,,4,,,30m²square meters,Yes,No,2240m²square meters,Connected,Yes,,No,Yes,Yes,Yes,212 kWh/m²kilowatt hour per square meters,C,20220609-002619788-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,Residential park,"€ 1,140,0001140000 €","€ 2,6352635 €",No,Vredestraat 12 8700- Tielt,http://www.era.be/lafaut,,East Falnders,19 m,,,,,,97 mmeters,,Yes,,Link to the virtual visit,,"Yes, conform",,,,No,,,,,,,,,,,,,,212,No,,,,Yes,,No,,,,Yes,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
10151274,,,1965,As new,,,Countryside,226m²square meters,50m²square meters,Installed,12m²square meters,3,21m²square meters,20m²square meters,1,,1,9m²square meters,Yes,No,727m²square meters,Connected,Yes,,No,No,Yes,No,475 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,Gas,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 966966 €,Yes,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6453,East Falnders,8 m,,9m²square meters,,,,16 mmeters,,Yes,226m²square meters,,,,,,,No,No,26m²square meters,No,No,No,No,Yes,South East,No,No,No,,No,,,,,,,72m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077808,,,1968,,,,,167m²square meters,,Hyper equipped,,3,,,1,,2,,No,,50m²square meters,Connected,Yes,,No,No,Yes,No,87 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,Gas,Yes,,No,,Non flood zone,,"€ 335,000335000 €","€ 1,0231023 €",No,Keizersplein 21 9300- Aalst,http://www.bvinvest.be,aaber47C,East Falnders,,2,,,,,,,Yes,,,,,Yes,,Yes,No,No,,No,No,No,No,Yes,South East,No,Yes,Yes,,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10162766,,,1938,Good,2,,,121m²square meters,33m²square meters,,14m²square meters,2,,,1,,,9m²square meters,Yes,No,144m²square meters,Not connected,Yes,,,,,,194 kWh/m²kilowatt hour per square meters,B,20221007-0002691619-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",€ 605605 €,No,Vredestraat 12 8700- Tielt,http://www.era.be/lafaut,,East Falnders,4 m,,,,,,4 mmeters,,No,,,,,,,,,,12m²square meters,,,,,,,,,,,,194,No,,,,Yes,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10085378,,,1935,To renovate,2,,,153m²square meters,,Not installed,,3,,,1,,1,,No,No,150m²square meters,Connected,Yes,43m²square meters,No,No,Yes,No,1031 kWh/m²kilowatt hour per square meters,F,20210309-0002384549-RES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 175,000175000 €",€ 354354 €,Yes,Durmelaan 24 9160- Lokeren,http://www.woonhoekvastgoed.be,22/097,East Falnders,4 m,,,,,,4 mmeters,,Yes,,,,,,,,No,,,,,,,,South,,No,No,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9940003,,,1935,Good,2,,,230m²square meters,18m²square meters,Not installed,8m²square meters,3,16m²square meters,15m²square meters,1,,2,,,No,386m²square meters,,Yes,150m²square meters,,,Yes,,524 kWh/m²kilowatt hour per square meters,F,20220530-0002613179-RES-1,Not specified,Not specified,,Fuel oil,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 248,000248000 €",€ 547547 €,,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,East Falnders,6 m,1,8m²square meters,,,,6 mmeters,,Yes,,,,,,,Yes,,,35m²square meters,Yes,,Yes,,,South West,,,,,,,,,Yes,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060813,,,2013,As new,3,,,153m²square meters,,Installed,,3,,,1,,2,,No,,379m²square meters,Connected,Yes,,No,No,Yes,No,154 kWh/m²kilowatt hour per square meters,B,20220504-0002597290-RES-1,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 360,000360000 €",€ 615615 €,No,,,,East Falnders,9 m,,,,,,,,Yes,,,,,,,,No,No,,No,No,No,No,,,No,No,No,All kind,,,No,,,,No,,No,,,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10078880,,,1992,,,,,350m²square meters,,Installed,,5,,,1,,,,,No,1543m²square meters,,,,,,,,230 kWh/m²kilowatt hour per square meters,C,20181211-0002113484-1,Not specified,Not specified,No,Gas,Yes,,,No,Non flood zone,"Living area (residential, urban or rural)","€ 925,000925000 €","€ 1,9931993 €",No,Damstraat 131 bus1 9800- St-Martens-Leerne,http://www.infinimo.be,16328 - 139/22/EDV,East Falnders,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154003,,,1930,To be done up,3,,,125m²square meters,,Installed,,3,,,,,,,No,No,234m²square meters,Connected,No,,,,,,382 kWh/m²kilowatt hour per square meters,D,20220525-0002611476-RES-1,Not specified,Not specified,,Fuel oil,,,,No,Non flood zone,Extended residential area,"€ 210,000210000 €",,No,Dendermondesteenweg 473 9070- Destelbergen,http://www.immo09.be,2022DVDVTK180,East Falnders,6 m,1,,,,,20 mmeters,,Yes,,,,,,,,,,,,,,,Yes,South East,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10146486,,,1936,Good,2,,Urban,249m²square meters,,Installed,,4,,,1,,2,,No,No,83m²square meters,Connected,Yes,,No,No,Yes,No,314 kWh/m²kilowatt hour per square meters,D,20220920-0002679345-RES-1,Not specified,Not specified,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 240,000240000 €",€ 478478 €,No,Godveerdegemstraat 76 bus 1 9620- Zottegem,http://www.optimumvastgoed.be/,TK-122-ZOT-VDH,East Falnders,6.5 m,,,,Yes,,6.5 mmeters,,Yes,83m²square meters,,,,,,,No,,,,,,,,,,Yes,No,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10156968,,,1965,As new,,2,,272m²square meters,52m²square meters,Installed,10m²square meters,2,15m²square meters,32m²square meters,2,,,,No,,315m²square meters,Not connected,Yes,30m²square meters,No,No,No,No,206 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,,No,,,"Living area (residential, urban or rural)","€ 350,000350000 €","€ 1,1401140 €",Yes,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6445,East Falnders,7 m,,,,Yes,,7 mmeters,12m²square meters,Yes,,,,,,,,No,Yes,,No,No,No,No,,South West,No,Yes,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155718,,,1933,Good,1,,Urban,165m²square meters,77m²square meters,Installed,,4,,,1,,1,,No,Yes,146m²square meters,Not connected,Yes,69m²square meters,No,No,Yes,No,297 kWh/m²kilowatt hour per square meters,C,20131023-0001468935-00000005-8,Not specified,Not specified,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 269,000269000 €",€ 411411 €,Yes,Durmelaan 24 9160- Lokeren,http://www.woonhoekvastgoed.be,22/046,East Falnders,,,,,,,4 mmeters,,Yes,,,,,,,,No,,,,,,,,South West,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156967,,,1965,As new,,2,,272m²square meters,52m²square meters,Installed,10m²square meters,2,15m²square meters,32m²square meters,2,,,,No,,315m²square meters,Not connected,Yes,30m²square meters,No,No,No,No,206 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,,No,,,"Living area (residential, urban or rural)","€ 350,000350000 €","€ 1,1401140 €",No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6445C,East Falnders,7 m,,,,Yes,,7 mmeters,12m²square meters,Yes,,,,,,,,No,Yes,,No,No,No,No,,South West,No,Yes,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9954355,,,1954,To renovate,3,3,,130m²square meters,25m²square meters,Semi equipped,10m²square meters,3,12m²square meters,11m²square meters,1,,,,,No,320m²square meters,,,,,,,,975 kWh/m²kilowatt hour per square meters,F,2552532,Not specified,Not specified,No,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 289,000289000 €",€ 518518 €,No,Yzerhand 14 9120- Beveren,,1892 - 2232,East Falnders,,1,11m²square meters,,,,,,,,,,,,,,,,7m²square meters,,,,,Yes,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123803,,,1977,To be done up,4,5,Countryside,216m²square meters,,Installed,,3,,,1,,1,,Yes,,2097m²square meters,Connected,Yes,,No,,Yes,No,401 kWh/m²kilowatt hour per square meters,D,202209120002672841-RES-1,Not specified,Not specified,,Gas,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 445,000445000 €",,No,Oudenaardsesteenweg 441 9420- Erpe-Mere,,4935640,East Falnders,,2,,,,Yes,,,Yes,,,,,Yes,Erpe Mere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9859873,,,1931,Just renovated,4,4,,191m²square meters,43m²square meters,Installed,22m²square meters,3,22m²square meters,19m²square meters,2,,2,,,No,855m²square meters,,,,,,,,127 kWh/m²kilowatt hour per square meters,B,20220412-0002582989-RES-1,Not specified,Not specified,No,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 570,000570000 €",,No,Baron Ruzetteelaan 83 8310- Assebroek,http://www.invasco.be,1909 - 1146,East Falnders,,,14m²square meters,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042778,,,2003,Good,2,,Urban,,,Installed,,2,,,,,,,,No,,,Yes,,Yes,,,,134 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 3,750,0003750000 €",,Yes,Parklaan 40 9100- St-Niklaas,,1173 - 2147,East Falnders,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151386,,,1933,As new,,,,255m²square meters,,Installed,,4,,,1,,1,,No,No,230m²square meters,Connected,Yes,,,,,,314 kWh/m²kilowatt hour per square meters,D,20220727-0002643941-RES-1,Not specified,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 365,000365000 €",€ 840840 €,No,Grote Markt 13 9600- Ronse,,Gom63,East Falnders,,,,,Yes,,,,Yes,,,,,Yes,,,,No,,No,No,No,No,Yes,West,,,,,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10069610,,,1939,As new,,,,180m²square meters,,Installed,,2,,,1,,2,,No,No,398m²square meters,Connected,No,,No,No,Yes,No,195 kWh/m²kilowatt hour per square meters,B,20220820-0002658903-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,Extended residential area,"€ 299,000299000 €",€ 500500 €,No,Wallenstraat 4a 8800- Roeselare,,28,East Falnders,12 m,2,,,Yes,,23 mmeters,,Yes,130m²square meters,,,,Yes,,,No,No,,No,No,No,No,Yes,South,No,No,No,,No,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10075476,,,1910,To renovate,2,,,75m²square meters,30m²square meters,,5m²square meters,1,,,1,,1,,No,No,144m²square meters,Not connected,No,,,,,,331 kWh/m²kilowatt hour per square meters,D,2585237,5 kg CO₂/m²,Not specified,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 160,000160000 €",€ 195195 €,No,Zuidlaan 72 9230- Wetteren,,TK1022LB,East Falnders,4.6 m,,,,,,4.7 mmeters,,Yes,48m²square meters,,,,,,,,,,,,,,Yes,North West,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060110,,,1987,,,,,120m²square meters,,Not installed,,3,,,1,,,,,No,,,,,,,,,330 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Gas,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 250,000250000 €",€ 594594 €,No,Dendermondesteenweg 501 9070- Destelbergen,http://www.axellenaerts.be,17628 - 8466,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158466,,,1959,Good,4,4,,150m²square meters,,Installed,,2,,,1,,2,,No,No,624m²square meters,Connected,Yes,,,,,,306 kWh/m²kilowatt hour per square meters,D,20220819-0002658392-RES-1,Not specified,Not specified,,Gas,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 718718 €,Yes,Durmelaan 24 9160- Lokeren,http://www.woonhoekvastgoed.be,22/095,East Falnders,,1,,,Yes,,13 mmeters,,Yes,,,,,Yes,,,,,,,,,,Yes,North West,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10140260,,,1918,To be done up,,,Countryside,104m²square meters,,Not installed,10m²square meters,2,14m²square meters,12m²square meters,1,,1,,No,No,520m²square meters,Connected,No,,No,No,Yes,No,1024 kWh/m²kilowatt hour per square meters,F,20220919-0002677759-RES-1,Not specified,Not specified,,Fuel oil,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 185,000185000 €",€ 247247 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6452,East Falnders,13 m,3,,,,,17 mmeters,,No,,,,,,,Yes,No,No,,No,No,No,No,Yes,North West,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146289,,,1999,As new,,,Countryside,230m²square meters,,Installed,14m²square meters,3,13m²square meters,13m²square meters,1,,,,No,No,1249m²square meters,Connected,No,,No,No,Yes,No,224 kWh/m²kilowatt hour per square meters,C,20220917-0002567080-RES-2,Not specified,Not specified,,Fuel oil,Yes,,No,No,,"Living area (residential, urban or rural)","€ 439,000439000 €","€ 1,0561056 €",No,Capucienenlaan 106 9300- Aalst,http://www.derick.be,Geraardsbergse Steen,East Falnders,17 m,1,30m²square meters,,,,39 mmeters,,Yes,,,,,,,,No,No,,No,No,No,No,Yes,South,No,No,No,All kind,No,,,,,,,88m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10075970,,,1980,As new,2,,Urban,210m²square meters,22m²square meters,USA hyper equipped,15m²square meters,5,17m²square meters,16m²square meters,1,1,1,,Yes,No,140m²square meters,Connected,Yes,80m²square meters,No,No,Yes,,173 kWh/m²kilowatt hour per square meters,B,20210202-0002367849-RES-1,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 280,000280000 €",,No,"Capucienenlaan, 1 9300- Aalst",,4892286,East Falnders,4.3 m,,14m²square meters,13m²square meters,,Yes,4.3 mmeters,15m²square meters,Yes,65m²square meters,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030263,,,1930,Just renovated,,,,143m²square meters,,Installed,11m²square meters,4,14m²square meters,15m²square meters,2,,1,,No,No,76m²square meters,Connected,Yes,,,,,,310 kWh/m²kilowatt hour per square meters,D,20220615-0002623188-RES-1,Not specified,Not specified,,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",€ 453453 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6430CC,East Falnders,5 m,,12m²square meters,13m²square meters,,,5 mmeters,,Yes,,,,,,,,,No,20m²square meters,No,No,No,No,Yes,North West,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053785,,,1930,Just renovated,,,,143m²square meters,,Installed,11m²square meters,4,14m²square meters,15m²square meters,2,,1,,No,No,76m²square meters,Connected,Yes,,,,,,310 kWh/m²kilowatt hour per square meters,D,20220615-0002623188-RES-1,Not specified,Not specified,,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",€ 453453 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6430CCC,East Falnders,5 m,,12m²square meters,13m²square meters,,,5 mmeters,,Yes,,,,,,,,,No,20m²square meters,No,No,No,No,Yes,North West,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048713,,,1918,As new,,,,112m²square meters,,Installed,16m²square meters,4,14m²square meters,11m²square meters,1,,1,,No,,78m²square meters,Connected,Yes,,No,No,Yes,No,270 kWh/m²kilowatt hour per square meters,C,20220805-0002651365-RES-1,Not specified,Not specified,,Gas,Yes,No,No,,,"Living area (residential, urban or rural)","€ 255,000255000 €",€ 384384 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6439,East Falnders,5 m,,13m²square meters,14m²square meters,,,5 mmeters,,Yes,,,,,,,,No,No,,No,No,No,No,,,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
